날짜,평균속도
2021.04.20,97.28
2021.04.20,97.81
2021.04.20,98.51
2021.04.20,100.19
2021.04.20,101.99
2021.04.20,103.08
2021.04.20,97.68
2021.04.20,99.08
2021.04.20,103.94
2021.04.20,105.21
2021.04.20,105.5
2021.04.19,106.62
2021.04.19,102.04
2021.04.19,102.61
2021.04.19,101.43
2021.04.19,107.82
2021.04.19,100.68
2021.04.19,100.33
2021.04.19,104.73
2021.04.19,105.85
2021.04.19,97.91
2021.04.19,93.22
2021.04.19,96.9
2021.04.19,94.42
2021.04.19,97.95
2021.04.19,97.48
2021.04.19,98.79
2021.04.19,99.83
2021.04.19,101.84
2021.04.19,102.67
2021.04.19,98.3
2021.04.19,101.63
2021.04.19,103.16
2021.04.19,104.68
2021.04.19,106.77
2021.04.18,106.81
2021.04.18,105.57
2021.04.18,103.74
2021.04.18,99
2021.04.18,103.47
2021.04.18,110.65
2021.04.18,113.52
2021.04.18,111.17
2021.04.18,107.04
2021.04.18,101.9
2021.04.18,98.32
2021.04.18,99.81
2021.04.18,100.25
2021.04.18,102.14
2021.04.18,97.97
2021.04.18,101.07
2021.04.18,102.69
2021.04.18,104.37
2021.04.18,104.64
2021.04.18,100.95
2021.04.18,95.87
2021.04.18,99.24
2021.04.18,101.99
2021.04.18,108.62
2021.04.17,105.97
2021.04.17,105.67
2021.04.17,102.27
2021.04.17,102.08
2021.04.17,105.15
2021.04.17,104.32
2021.04.17,102.47
2021.04.17,102.3
2021.04.17,102.58
2021.04.17,101.56
2021.04.17,97.43
2021.04.17,100.74
2021.04.17,102.96
2021.04.17,100.39
2021.04.17,103.95
2021.04.17,98.56
2021.04.17,101.32
2021.04.17,105.01
2021.04.17,105.77
2021.04.17,101.71
2021.04.17,98.85
2021.04.17,102.12
2021.04.17,104.54
2021.04.17,108.06
2021.04.16,103.78
2021.04.16,100.83
2021.04.16,100.07
2021.04.16,98.3
2021.04.16,101.14
2021.04.16,101.26
2021.04.16,103.34
2021.04.16,102.57
2021.04.16,101.12
2021.04.16,97.63
2021.04.16,92.92
2021.04.16,92.53
2021.04.16,100.37
2021.04.16,97.68
2021.04.16,96.59
2021.04.16,101.66
2021.04.16,99.26
2021.04.16,103.01
2021.04.16,94.18
2021.04.16,85.1
2021.04.16,100.24
2021.04.16,100.99
