날짜,평균속도
20210215,55.6
20210215,54.74
20210215,55
20210215,53.13
20210215,51.1
20210215,48.34
20210215,49.07
20210215,56.12
20210215,57.71
20210215,58.91
20210215,61.39
20210216,59.82
20210216,59.01
20210216,58.53
20210216,58.62
20210216,57.68
20210216,58.62
20210216,56.76
20210216,40.3
20210216,19.17
20210216,27.89
20210216,51.41
20210216,47.27
20210216,41.79
20210216,46.44
20210216,54.1
20210216,55.75
20210216,54.62
20210216,50.7
20210216,47.68
20210216,49.92
20210216,54.56
20210216,55.58
20210216,57.58
20210216,60.89
20210217,59.91
20210217,57.11
20210217,56.75
20210217,57.26
20210217,56.66
20210217,56.38
20210217,55.18
20210217,31.97
20210217,23.74
20210217,28.67
20210217,41.1
20210217,54.37
20210217,55.18
20210217,55.3
20210217,50.05
20210217,53.59
20210217,53.23
20210217,51.15
20210217,39.68
20210217,46.82
20210217,53.15
20210217,56.95
20210217,58.51
20210217,61.36
20210218,61.39
20210218,58.35
20210218,57.81
20210218,58
20210218,56.71
20210218,57.99
20210218,55
20210218,41.88
20210218,21.23
20210218,23.68
20210218,46.63
20210218,51.45
20210218,54.11
20210218,51.75
20210218,55.41
20210218,55.37
20210218,54.05
20210218,51.52
20210218,48.7
20210218,42.56
20210218,50.72
20210218,55.85
20210218,55.81
20210218,60.41
20210219,60.43
20210219,59.28
20210219,57.02
20210219,56.03
20210219,60.74
20210219,56.86
20210219,57.39
20210219,39.69
20210219,23.45
20210219,35.34
20210219,52.45
20210219,48.54
20210219,53.1
20210219,56.86
20210219,54.3
20210219,53.28
20210219,55.46
20210219,52.1
20210219,47
20210219,38.67
20210219,46.76
20210219,51.57
20210219,52.24
20210219,59.03
20210220,61.31
20210220,59.3
20210220,59.88
20210220,59.5
20210220,57.73
20210220,59.02
20210220,57.03
20210220,56
20210220,56.84
20210220,57.6
20210220,57.55
20210220,56
20210220,51.06
20210220,38.56
20210220,38.24
20210220,52.91
20210220,53.65
20210220,52.44
20210220,50.08
20210220,51.55
20210220,55.56
20210220,57.22
20210220,57.86
20210220,59.14
20210221,58.8
20210221,58.47
20210221,57.23
20210221,56.47
20210221,56.24
20210221,63.38
20210221,58.23
20210221,56.24
20210221,56.7
20210221,55.99
20210221,56.73
20210221,55.86
20210221,54.32
20210221,52.73
20210221,55.17
20210221,54.44
20210221,55.48
20210221,55.68
20210221,54.12
20210221,53.77
20210221,55.82
20210221,57.58
20210221,57.37
20210221,57.57
20210222,56.72
20210222,56.21
20210222,57.14
20210222,58.33
20210222,59.12
20210222,56.62
20210222,57.13
20210222,40.87
20210222,24.3
20210222,43.25
20210222,46.65
20210222,49.37
20210222,52.07
20210222,54.83
20210222,55.14
20210222,54.71
20210222,54.83
20210222,53.72
20210222,48.72
20210222,43.68
20210222,45.32
20210222,54.78
20210222,57.54
20210222,62.2
20210223,62.22
20210223,59.96
20210223,61.24
20210223,59.03
20210223,58.34
20210223,58.18
20210223,56.36
20210223,42.32
20210223,22.15
20210223,26.6
20210223,47.52
20210223,42.61
20210223,50.08
20210223,47.32
20210223,55.11
20210223,56.08
20210223,52.96
20210223,52.03
20210223,47.9
20210223,46.65
20210223,52.68
20210223,56.16
20210223,56.85
20210223,60.32
20210224,58.99
20210224,58.45
20210224,58.79
20210224,57.76
20210224,57.45
20210224,57.85
20210224,56.03
20210224,53.68
20210224,39.78
20210224,26.23
20210224,50.49
20210224,41.37
20210224,50.79
20210224,45.81
20210224,55.71
20210224,54.98
20210224,54.46
20210224,52.61
20210224,46.18
20210224,43.22
20210224,50.84
20210224,54.38
20210224,56.9
20210224,61.09
20210225,61.36
20210225,59.91
20210225,58.19
20210225,56.6
20210225,56.12
20210225,57.45
20210225,55.98
20210225,41.87
20210225,20.58
20210225,28.92
20210225,49.26
20210225,43.47
20210225,49.48
20210225,52
20210225,53.57
20210225,55.78
20210225,55.18
20210225,50.77
20210225,48.35
20210225,41.81
20210225,50.06
20210225,55.06
20210225,55.71
20210225,59.96
20210226,61.2
20210226,59.4
20210226,58.42
20210226,56.13
20210226,59.23
20210226,57.6
20210226,55.59
20210226,45.23
20210226,28.22
20210226,49.77
20210226,54.9
20210226,45.98
20210226,51.96
