날짜,교통량
2021.01.31,1281
2021.01.31,886
2021.01.31,652
2021.01.31,615
2021.01.31,717
2021.01.31,1346
2021.01.31,2529
2021.01.31,3812
2021.01.31,4516
2021.01.31,5682
2021.01.31,6192
2021.01.31,6920
2021.01.31,6284
2021.01.31,6592
2021.01.31,6780
2021.01.31,7134
2021.01.31,7006
2021.01.31,6739
2021.01.31,6066
2021.01.31,6024
2021.01.31,6349
2021.01.31,5635
2021.01.31,3088
2021.01.31,2006
2021.01.30,1702
2021.01.30,1237
2021.01.30,943
2021.01.30,929
2021.01.30,1269
2021.01.30,2612
2021.01.30,4795
2021.01.30,6164
2021.01.30,6907
2021.01.30,7155
2021.01.30,7597
2021.01.30,7186
2021.01.30,6982
2021.01.30,7068
2021.01.30,7046
2021.01.30,7120
2021.01.30,7115
2021.01.30,7279
2021.01.30,5896
2021.01.30,5100
2021.01.30,4273
2021.01.30,4124
2021.01.30,3132
2021.01.30,1977
2021.01.29,1338
2021.01.29,936
2021.01.29,767
2021.01.29,775
2021.01.29,1116
2021.01.29,2621
2021.01.29,5511
2021.01.29,7730
2021.01.29,7014
2021.01.29,7400
2021.01.29,7245
2021.01.29,7403
2021.01.29,6978
2021.01.29,7321
2021.01.29,7258
2021.01.29,7520
2021.01.29,7487
2021.01.29,7792
2021.01.29,6795
2021.01.29,5493
2021.01.29,5424
2021.01.29,4538
2021.01.29,3304
2021.01.29,2198
2021.01.28,1338
2021.01.28,1007
2021.01.28,838
2021.01.28,669
2021.01.28,1070
2021.01.28,2478
2021.01.28,5379
2021.01.28,8079
2021.01.28,8060
2021.01.28,7826
2021.01.28,6526
2021.01.28,6851
2021.01.28,6744
2021.01.28,6467
2021.01.28,6356
2021.01.28,6472
2021.01.28,6216
2021.01.28,6101
2021.01.28,5444
2021.01.28,3845
2021.01.28,3292
2021.01.28,3153
2021.01.28,2334
2021.01.28,1535
2021.01.27,1281
2021.01.27,877
2021.01.27,817
2021.01.27,768
2021.01.27,1025
2021.01.27,2598
2021.01.27,4713
2021.01.27,6494
2021.01.27,6058
2021.01.27,6149
2021.01.27,6221
2021.01.27,7165
2021.01.27,6964
2021.01.27,6538
2021.01.27,6635
2021.01.27,6563
2021.01.27,6600
2021.01.27,6720
2021.01.27,5549
2021.01.27,4624
2021.01.27,4367
2021.01.27,3905
2021.01.27,3110
2021.01.27,2020
2021.01.26,1330
2021.01.26,1080
2021.01.26,724
2021.01.26,775
2021.01.26,822
2021.01.26,2870
2021.01.26,5599
2021.01.26,8015
2021.01.26,5978
2021.01.26,7032
2021.01.26,7168
2021.01.26,5297
2021.01.26,7057
2021.01.26,6820
2021.01.26,6813
2021.01.26,6794
2021.01.26,6449
2021.01.26,6515
2021.01.26,4590
2021.01.26,4291
2021.01.26,4004
2021.01.26,3615
2021.01.26,2035
2021.01.26,1637
2021.01.25,1555
2021.01.25,1041
2021.01.25,807
2021.01.25,946
2021.01.25,2098
2021.01.25,5301
2021.01.25,7042
2021.01.25,6587
