교통량,평균속도,0010CZS430
2415,104.41,
3984,98.86,
4463,92.5,
360,104.95,
4730,95.46,
258,104.63,
4920,93.49,
287,105.58,
5175,91.45,
315,107.29,
4987,92.99,
293,106.5,
4982,94.34,
259,104.84,
4963,94.54,
270,106.64,
4972,91.76,
299,106.98,
5023,91.89,
299,107,
4962,92.48,
308,106.84,
4649,89.08,
270,106.19,
4298,88.17,
267,105.86,
3602,93.64,
257,104.82,
2839,98.16,
178,104.64,
3199,102,
2505,103.98,
1595,108.17,
1010,108.27,
641,109.51,
476,106.84,
359,106.28,
459,109.42,
950,108.87,
1773,107.01,
2038,96.21,
213,103.03,
2499,92.35,
180,101.55,
2956,94.75,
194,103.53,
3809,94.36,
241,103.31,
3863,91.21,
234,103.38,
3999,93.54,
232,102.79,
4429,91.87,
263,104.93,
4605,90.2,
278,104.04,
4959,89.14,
268,104.51,
4663,92.31,
262,104.59,
4350,89.84,
223,105.9,
3725,91.04,
235,103.76,
3751,93.12,
248,105.09,
3671,93.19,
219,105.15,
4334,98.66,
3165,104.7,
1795,106.96,
1163,104.85,
743,102.61,
628,101.51,
662,101.38,
1494,104.19,
4167,98.55,
6416,87.29,
4826,85.09,
494,102.85,
5018,88.56,
260,106.79,
4651,91.43,
215,105.5,
4715,91.9,
227,104.34,
4956,90.57,
210,105.84,
4415,93.96,
184,106.4,
4666,91.37,
223,106.6,
4504,91.11,
212,106.31,
4523,89.69,
201,105.09,
4470,88.77,
201,106.15,
4242,89.75,
190,107.17,
4001,82.43,
215,105.65,
3674,86.51,
230,104.76,
2845,90.84,
178,104.11,
2747,98.49,
1932,100.89,
1184,101.12,
1018,99.82,
714,97.1,
643,94.63,
599,97.65,
907,98.4,
2382,99.7,
4985,93.07,
4692,54.19,
456,89.2,
4337,33.95,
309,68.22,
3993,28.98,
258,92.52,
4096,73.88,
227,103.38,
4416,92.9,
196,106.52,
4233,94.23,
194,104.67,
4193,93.32,
218,106.57,
4401,92.4,
205,106.51,
4572,89.51,
191,105.87,
4339,91.09,
214,106.34,
4240,90.61,
196,107.81,
4138,83.69,
217,104.77,
3671,85.72,
213,104.4,
2737,92.71,
173,104.56,
2670,97.97,
1819,101.76,
1286,102.13,
951,100.06,
746,98.11,
625,95.48,
596,97.02,
894,97.7,
2252,99.06,
4880,93.67,
5213,82.44,
444,104,
5101,89.52,
272,105.92,
4945,90.28,
243,105.66,
4912,90.28,
245,105.54,
4443,93.43,
205,108.26,
4513,93.7,
213,107.17,
4793,90.53,
220,105.71,
4337,90.31,
184,106,
4438,89.39,
197,105.98,
4413,89.4,
224,106.64,
4206,90.36,
190,106.22,
4288,81.54,
216,106.31,
3640,86.25,
223,106.14,
2801,93.51,
177,106.26,
2643,99.39,
2036,101.2,
1338,101.05,
916,100.34,
760,97.94,
541,95.36,
606,96.54,
890,98.34,
2382,101.08,
4941,92.76,
5189,82.51,
416,103.61,
5224,89.2,
248,104.57,
4968,90.23,
242,104.31,
5172,86.93,
265,104.75,
5061,87.56,
232,103.67,
4808,91.53,
199,105.86,
4713,91.53,
225,105.4,
4658,89.7,
218,107.34,
4514,91.2,
190,106.17,
4582,90.1,
230,106.22,
4325,89.82,
203,108.52,
4173,84.24,
214,105.1,
3682,85.83,
249,104.77,
3076,92.13,
187,103.76,
3025,96.76,
2043,100.45,
1418,103.34,
1001,99.12,
798,95.19,
682,90.75,
619,90.38,
902,92.4,
2202,90.97,
4679,84.49,
4911,74.73,
440,98.75,
4680,86.41,
303,102.88,
4638,88.77,
269,104.96,
4677,86.97,
277,105.23,
4725,87.76,
236,106.51,
4827,89.01,
244,103.97,
4673,89.96,
251,104.02,
4786,87.59,
284,105.13,
4810,86.1,
233,105.2,
4853,86.86,
265,104.06,
4715,85.48,
256,105.1,
4787,79.06,
302,103.52,
4173,82.81,
298,104.32,
3983,87.1,
253,102.77,
3975,95.9,
2643,100.22,
1763,101.43,
1191,101.74,
902,98.67,
701,98.87,
675,98.38,
850,101.09,
1779,102.45,
3174,98.05,
3830,91.59,
291,104.7,
4170,93.74,
225,103.8,
4541,94.88,
260,106.51,
4517,95.19,
269,105.5,
4666,94.68,
219,106.78,
4472,97.35,
229,107.26,
4741,92.84,
236,106.64,
4930,87.42,
252,104.62,
4915,90.33,
245,106.39,
4840,90.24,
283,108.39,
4619,88.42,
274,107.31,
4121,86.55,
271,103.43,
3048,95.87,
201,107.47,
2623,97.51,
159,103.51,
2812,101.9,
1994,104.83,
1318,105.92,
836,106.76,
615,105.34,
400,105.67,
371,103.24,
436,101.56,
923,105.36,
1694,104.5,
2211,101.77,
204,106.86,
2681,103.86,
161,105.03,
3280,103.64,
202,104.14,
3983,100.52,
209,106.58,
4253,100.66,
204,107.59,
4281,100.56,
192,107.3,
4825,97.29,
234,107.11,
4761,95.36,
227,107.32,
4962,92.92,
239,104.69,
4749,92.69,
250,106.89,
4475,91.72,
207,105.86,
3847,91.72,
244,104.42,
3952,92.47,
255,105.14,
3837,93.04,
201,107.26,
4338,98.29,
3254,104.48,
1937,106.57,
1220,104.46,
736,102.53,
666,101.11,
765,101.84,
1613,106.75,
4394,99.79,
6608,85.34,
5223,80.84,
554,97.87,
4936,90.56,
284,105.76,
4816,91.76,
225,104.36,
4967,88.93,
240,105.77,
4915,87.86,
212,105.92,
4947,88.8,
250,105.84,
4807,89.92,
217,105.88,
4581,90.55,
193,106.42,
4708,91.9,
221,104.84,
4571,91.68,
220,105.9,
4271,88.96,
219,106.34,
4315,78.78,
232,104.88,
3683,85.47,
240,103.62,
3037,91.85,
172,106.11,
2918,97.97,
1952,100.66,
1341,98.62,
996,99.67,
787,98.48,
618,94.71,
645,96.78,
1007,98.36,
2407,95.74,
5064,81.65,
5158,70.07,
451,98.45,
4848,88.39,
274,106.4,
4706,88.28,
276,103.22,
4783,86.39,
255,104.78,
4739,88.6,
204,105.06,
4912,87.22,
219,105.15,
4775,89.41,
222,106.37,
4669,90.34,
211,107.3,
4622,89.73,
183,104.11,
4607,89.37,
222,106.57,
4319,89.27,
204,107,
4159,82,
217,104.97,
3674,85.35,
233,104.11,
3225,90.4,
167,103.05,
2777,98.8,
2077,99.51,
1356,99.17,
1011,98.08,
755,95.46,
689,95.75,
625,95.64,
898,96.99,
2333,98.82,
4885,93.26,
5179,76.84,
406,102.61,
5056,88.8,
239,105.35,
5071,88.94,
237,104.87,
5014,84.59,
265,103.43,
4742,89.09,
188,104.75,
4620,89.72,
197,105.82,
4732,89.74,
232,104.92,
4410,91.9,
226,104.38,
4595,90.59,
199,105.19,
4590,89.95,
244,107.75,
4394,86.69,
206,107.02,
4261,80.91,
238,104.32,
3757,82.29,
236,104.73,
3398,89.23,
195,104.25,
3094,96.03,
1962,101.56,
1544,100.69,
1057,98.63,
836,97.53,
619,91.73,
591,95.38,
923,96.12,
2171,99.12,
4442,93.48,
4848,78.43,
419,100.98,
4852,89.49,
217,105.64,
4804,89.18,
226,104.21,
4991,88.39,
264,105.28,
4915,87.94,
222,104.56,
4820,88.79,
239,103.86,
4903,88.67,
245,105.86,
4866,85.98,
247,104.86,
