날짜,교통량
2021.01.31,85
2021.01.31,79
2021.01.31,62
2021.01.31,68
2021.01.31,54
2021.01.31,92
2021.01.31,127
2021.01.31,205
2021.01.31,292
2021.01.31,511
2021.01.31,709
2021.01.31,881
2021.01.31,847
2021.01.31,974
2021.01.31,1167
2021.01.31,1224
2021.01.31,1190
2021.01.31,988
2021.01.31,745
2021.01.31,699
2021.01.31,554
2021.01.31,411
2021.01.31,334
2021.01.31,228
2021.01.30,130
2021.01.30,70
2021.01.30,79
2021.01.30,72
2021.01.30,132
2021.01.30,179
2021.01.30,220
2021.01.30,252
2021.01.30,346
2021.01.30,509
2021.01.30,782
2021.01.30,831
2021.01.30,714
2021.01.30,705
2021.01.30,816
2021.01.30,824
2021.01.30,888
2021.01.30,788
2021.01.30,614
2021.01.30,473
2021.01.30,326
2021.01.30,294
2021.01.30,209
2021.01.30,106
2021.01.29,115
2021.01.29,69
2021.01.29,97
2021.01.29,99
2021.01.29,140
2021.01.29,172
2021.01.29,210
2021.01.29,304
2021.01.29,309
2021.01.29,456
2021.01.29,681
2021.01.29,753
2021.01.29,769
2021.01.29,678
2021.01.29,710
2021.01.29,784
2021.01.29,802
2021.01.29,825
2021.01.29,884
2021.01.29,662
2021.01.29,398
2021.01.29,301
2021.01.29,223
2021.01.29,140
2021.01.28,140
2021.01.28,122
2021.01.28,131
2021.01.28,154
2021.01.28,200
2021.01.28,237
2021.01.28,264
2021.01.28,343
2021.01.28,415
2021.01.28,609
2021.01.28,770
2021.01.28,770
2021.01.28,722
2021.01.28,737
2021.01.28,728
2021.01.28,795
2021.01.28,699
2021.01.28,712
2021.01.28,506
2021.01.28,427
2021.01.28,379
2021.01.28,273
2021.01.28,188
2021.01.28,126
2021.01.27,109
2021.01.27,80
2021.01.27,98
2021.01.27,99
2021.01.27,157
2021.01.27,207
2021.01.27,234
2021.01.27,269
2021.01.27,377
2021.01.27,515
2021.01.27,733
2021.01.27,749
2021.01.27,773
2021.01.27,611
2021.01.27,765
2021.01.27,777
2021.01.27,799
2021.01.27,739
2021.01.27,641
2021.01.27,532
2021.01.27,388
2021.01.27,356
2021.01.27,251
2021.01.27,139
2021.01.26,130
2021.01.26,113
2021.01.26,125
2021.01.26,144
2021.01.26,196
2021.01.26,259
2021.01.26,262
2021.01.26,322
2021.01.26,404
2021.01.26,506
2021.01.26,270
2021.01.26,775
2021.01.26,748
2021.01.26,681
2021.01.26,628
2021.01.26,663
2021.01.26,711
2021.01.26,594
2021.01.26,490
2021.01.26,414
2021.01.26,337
2021.01.26,315
2021.01.26,284
2021.01.26,127
2021.01.25,138
2021.01.25,109
2021.01.25,134
2021.01.25,126
2021.01.25,201
2021.01.25,257
2021.01.25,308
2021.01.25,378
2021.01.25,458
2021.01.25,564
2021.01.25,734
2021.01.25,803
2021.01.25,684
2021.01.25,601
2021.01.25,675
2021.01.25,754
2021.01.25,704
2021.01.25,725
2021.01.25,619
2021.01.25,483
2021.01.25,427
2021.01.25,337
2021.01.25,280
2021.01.25,170
2021.01.24,81
2021.01.24,76
2021.01.24,49
2021.01.24,68
2021.01.24,49
2021.01.24,93
2021.01.24,115
2021.01.24,188
2021.01.24,241
2021.01.24,483
2021.01.24,670
2021.01.24,790
2021.01.24,811
2021.01.24,911
2021.01.24,1055
2021.01.24,1170
2021.01.24,1076
2021.01.24,873
2021.01.24,721
2021.01.24,642
2021.01.24,496
2021.01.24,351
2021.01.24,272
2021.01.24,176
2021.01.23,132
2021.01.23,78
2021.01.23,97
2021.01.23,108
2021.01.23,132
2021.01.23,174
2021.01.23,198
2021.01.23,279
2021.01.23,364
2021.01.23,535
2021.01.23,758
2021.01.23,771
2021.01.23,769
2021.01.23,684
2021.01.23,823
2021.01.23,821
2021.01.23,791
2021.01.23,735
2021.01.23,524
2021.01.23,388
2021.01.23,345
2021.01.23,241
2021.01.23,171
2021.01.23,120
2021.01.22,111
2021.01.22,102
2021.01.22,104
2021.01.22,136
2021.01.22,171
2021.01.22,222
2021.01.22,238
2021.01.22,322
2021.01.22,401
2021.01.22,515
2021.01.22,770
2021.01.22,806
2021.01.22,798
2021.01.22,722
2021.01.22,816
2021.01.22,894
2021.01.22,949
2021.01.22,849
2021.01.22,930
2021.01.22,715
2021.01.22,445
2021.01.22,282
2021.01.22,250
2021.01.22,169
2021.01.21,121
2021.01.21,82
2021.01.21,96
2021.01.21,105
2021.01.21,153
2021.01.21,193
2021.01.21,216
2021.01.21,328
2021.01.21,386
2021.01.21,549
2021.01.21,727
2021.01.21,790
2021.01.21,775
2021.01.21,713
2021.01.21,742
2021.01.21,771
2021.01.21,772
2021.01.21,718
2021.01.21,635
2021.01.21,517
2021.01.21,393
2021.01.21,320
2021.01.21,217
2021.01.21,103
2021.01.20,48
2021.01.20,39
2021.01.20,78
2021.01.20,68
2021.01.20,35
2021.01.20,82
2021.01.20,82
2021.01.20,81
2021.01.20,96
2021.01.20,220
2021.01.20,340
2021.01.20,273
2021.01.20,115
2021.01.20,204
2021.01.20,160
2021.01.20,242
2021.01.20,129
2021.01.20,236
2021.01.20,208
2021.01.20,63
2021.01.20,51
2021.01.20,-1
2021.01.20,-1
2021.01.20,-1
2021.01.19,102
2021.01.19,82
2021.01.19,102
2021.01.19,103
2021.01.19,156
2021.01.19,179
2021.01.19,201
2021.01.19,231
2021.01.19,355
2021.01.19,493
2021.01.19,694
2021.01.19,713
2021.01.19,721
2021.01.19,646
2021.01.19,630
2021.01.19,679
2021.01.19,676
2021.01.19,653
2021.01.19,596
2021.01.19,428
2021.01.19,352
2021.01.19,268
2021.01.19,239
2021.01.19,128
2021.01.18,149
2021.01.18,115
2021.01.18,116
2021.01.18,135
2021.01.18,173
2021.01.18,204
2021.01.18,297
2021.01.18,348
2021.01.18,379
2021.01.18,470
2021.01.18,528
2021.01.18,594
2021.01.18,437
2021.01.18,592
2021.01.18,546
2021.01.18,708
2021.01.18,621
2021.01.18,589
2021.01.18,525
2021.01.18,409
2021.01.18,350
2021.01.18,273
2021.01.18,222
2021.01.18,147
2021.01.17,117
2021.01.17,100
2021.01.17,86
2021.01.17,73
2021.01.17,90
2021.01.17,108
2021.01.17,140
2021.01.17,182
2021.01.17,271
2021.01.17,452
2021.01.17,785
2021.01.17,906
2021.01.17,920
2021.01.17,1000
2021.01.17,1137
2021.01.17,1157
2021.01.17,1091
2021.01.17,891
2021.01.17,647
2021.01.17,578
2021.01.17,474
2021.01.17,389
2021.01.17,301
2021.01.17,210
2021.01.16,151
2021.01.16,138
2021.01.16,124
2021.01.16,115
2021.01.16,142
2021.01.16,162
2021.01.16,216
2021.01.16,290
2021.01.16,395
2021.01.16,556
2021.01.16,750
2021.01.16,831
2021.01.16,792
2021.01.16,738
2021.01.16,837
2021.01.16,862
2021.01.16,871
2021.01.16,851
2021.01.16,622
2021.01.16,517
