날짜,교통량
2021.01.31,32
2021.01.31,26
2021.01.31,23
2021.01.31,28
2021.01.31,19
2021.01.31,50
2021.01.31,91
2021.01.31,171
2021.01.31,198
2021.01.31,291
2021.01.31,384
2021.01.31,414
2021.01.31,437
2021.01.31,433
2021.01.31,507
2021.01.31,567
2021.01.31,546
2021.01.31,479
2021.01.31,368
2021.01.31,328
2021.01.31,279
2021.01.31,208
2021.01.31,133
2021.01.31,108
2021.01.30,46
2021.01.30,28
2021.01.30,27
2021.01.30,34
2021.01.30,55
2021.01.30,71
2021.01.30,134
2021.01.30,241
2021.01.30,353
2021.01.30,414
2021.01.30,567
2021.01.30,533
2021.01.30,448
2021.01.30,446
2021.01.30,558
2021.01.30,590
2021.01.30,471
2021.01.30,420
2021.01.30,347
2021.01.30,238
2021.01.30,143
2021.01.30,135
2021.01.30,93
2021.01.30,55
2021.01.29,26
2021.01.29,39
2021.01.29,31
2021.01.29,26
2021.01.29,36
2021.01.29,48
2021.01.29,95
2021.01.29,166
2021.01.29,252
2021.01.29,290
2021.01.29,398
2021.01.29,438
2021.01.29,370
2021.01.29,420
2021.01.29,415
2021.01.29,453
2021.01.29,442
2021.01.29,440
2021.01.29,405
2021.01.29,316
2021.01.29,197
2021.01.29,200
2021.01.29,110
2021.01.29,48
2021.01.28,44
2021.01.28,41
2021.01.28,30
2021.01.28,35
2021.01.28,68
2021.01.28,83
2021.01.28,115
2021.01.28,259
2021.01.28,361
2021.01.28,410
2021.01.28,512
2021.01.28,477
2021.01.28,392
2021.01.28,433
2021.01.28,413
2021.01.28,392
2021.01.28,349
2021.01.28,300
2021.01.28,233
2021.01.28,196
2021.01.28,127
2021.01.28,93
2021.01.28,68
2021.01.28,51
2021.01.27,43
2021.01.27,23
2021.01.27,29
2021.01.27,34
2021.01.27,67
2021.01.27,83
2021.01.27,160
2021.01.27,292
2021.01.27,390
2021.01.27,494
2021.01.27,538
2021.01.27,497
2021.01.27,407
2021.01.27,405
2021.01.27,467
2021.01.27,410
2021.01.27,444
2021.01.27,380
2021.01.27,292
2021.01.27,187
2021.01.27,182
2021.01.27,133
2021.01.27,94
2021.01.27,66
2021.01.26,44
2021.01.26,46
2021.01.26,35
2021.01.26,33
2021.01.26,69
2021.01.26,79
2021.01.26,143
2021.01.26,234
2021.01.26,309
2021.01.26,404
2021.01.26,164
2021.01.26,456
2021.01.26,385
2021.01.26,415
2021.01.26,444
2021.01.26,420
2021.01.26,401
2021.01.26,331
2021.01.26,242
2021.01.26,194
2021.01.26,156
2021.01.26,106
2021.01.26,74
2021.01.26,65
2021.01.25,55
2021.01.25,30
2021.01.25,26
2021.01.25,39
2021.01.25,85
2021.01.25,130
2021.01.25,230
2021.01.25,318
2021.01.25,437
2021.01.25,465
2021.01.25,449
2021.01.25,578
2021.01.25,413
2021.01.25,432
2021.01.25,468
2021.01.25,382
2021.01.25,423
2021.01.25,351
2021.01.25,261
2021.01.25,208
2021.01.25,168
2021.01.25,125
2021.01.25,105
2021.01.25,77
2021.01.24,33
2021.01.24,20
2021.01.24,10
2021.01.24,21
2021.01.24,20
2021.01.24,42
2021.01.24,89
2021.01.24,148
2021.01.24,173
2021.01.24,258
2021.01.24,387
2021.01.24,460
2021.01.24,429
2021.01.24,443
2021.01.24,538
2021.01.24,588
2021.01.24,580
2021.01.24,440
2021.01.24,369
2021.01.24,317
2021.01.24,253
2021.01.24,178
2021.01.24,128
2021.01.24,82
2021.01.23,41
2021.01.23,33
2021.01.23,24
2021.01.23,27
2021.01.23,41
2021.01.23,75
2021.01.23,101
2021.01.23,204
2021.01.23,276
2021.01.23,401
2021.01.23,530
2021.01.23,504
2021.01.23,474
2021.01.23,472
2021.01.23,471
2021.01.23,494
2021.01.23,499
2021.01.23,415
2021.01.23,290
2021.01.23,220
2021.01.23,155
2021.01.23,111
2021.01.23,64
2021.01.23,51
2021.01.22,41
2021.01.22,30
2021.01.22,31
2021.01.22,26
2021.01.22,53
2021.01.22,58
2021.01.22,122
2021.01.22,209
2021.01.22,330
2021.01.22,402
2021.01.22,459
2021.01.22,468
2021.01.22,449
2021.01.22,451
2021.01.22,485
2021.01.22,557
2021.01.22,482
2021.01.22,496
2021.01.22,440
2021.01.22,384
2021.01.22,235
2021.01.22,165
2021.01.22,92
2021.01.22,64
2021.01.21,62
2021.01.21,54
2021.01.21,50
2021.01.21,47
2021.01.21,90
2021.01.21,107
2021.01.21,150
2021.01.21,241
2021.01.21,356
2021.01.21,439
2021.01.21,517
2021.01.21,532
2021.01.21,482
2021.01.21,457
2021.01.21,472
2021.01.21,494
2021.01.21,458
2021.01.21,330
2021.01.21,244
2021.01.21,218
2021.01.21,171
2021.01.21,121
2021.01.21,93
2021.01.21,67
2021.01.20,61
2021.01.20,54
2021.01.20,77
2021.01.20,72
2021.01.20,42
2021.01.20,73
2021.01.20,65
2021.01.20,95
2021.01.20,149
2021.01.20,214
2021.01.20,210
2021.01.20,181
2021.01.20,77
2021.01.20,153
2021.01.20,113
2021.01.20,113
2021.01.20,119
2021.01.20,158
2021.01.20,108
2021.01.20,30
2021.01.20,17
2021.01.20,-1
2021.01.20,-1
2021.01.20,-1
2021.01.19,61
