T3 교통량,T5 교통량,T4
4091,5200,1109
204,382,178
3796,4483,687
212,373,161
3546,4154,608
182,426,244
3407,3465,58
173,411,238
3243,2897,-346
268,511,243
3108,3130,22
229,439,210
2037,2637,600
1390,1857,467
997,1281,284
781,1006,225
634,824,190
632,748,116
517,682,165
746,970,224
1858,2509,651
4074,5487,1413
4846,4766,-80
410,734,324
4637,4849,212
270,472,202
4620,5091,471
203,371,168
4524,5077,553
226,358,132
4727,5112,385
202,365,163
4416,4858,442
179,314,135
4546,4929,383
202,345,143
4255,4714,459
200,334,134
4301,4665,364
206,354,148
4345,4764,419
219,357,138
3600,4036,436
202,372,170
3939,3547,-392
191,390,199
3522,2937,-585
224,402,178
2911,2644,-267
166,298,132
2675,2863,188
1961,2297,336
1333,1551,218
930,1127,197
707,842,135
617,773,156
577,677,100
832,1038,206
2255,2651,396
4745,5360,615
5083,5212,129
404,842,438
5004,5308,304
252,456,204
4887,5474,587
242,386,144
4901,5626,725
239,384,145
4899,5578,679
198,366,168
5057,5520,463
226,391,165
4692,5246,554
194,352,158
4490,4978,488
209,364,155
4219,4762,543
197,313,116
4354,4760,406
213,343,130
4335,4676,341
203,367,164
3120,3392,272
181,336,155
3626,3109,-517
254,395,141
3458,3150,-308
193,305,112
3089,3138,49
2077,2487,410
1349,1593,244
1031,1196,165
790,909,119
575,706,131
573,684,111
878,1081,203
2174,2522,348
4670,5309,639
5111,5280,169
372,692,320
4970,5231,261
286,477,191
4008,4825,817
207,336,129
4716,5353,637
197,312,115
4793,5422,629
226,362,136
4666,5372,706
240,388,148
4691,5384,693
229,359,130
4716,5391,675
214,345,131
4664,5359,695
227,399,172
4607,5300,693
228,418,190
4655,5291,636
251,472,221
4483,4665,182
255,458,203
4110,3641,-469
282,472,190
3463,3508,45
245,424,179
4922,5361,439
2996,3526,530
1759,2111,352
4823,5013,190
238,398,160
4438,4809,371
234,378,144
4810,5050,240
266,408,142
4686,4806,120
294,418,124
4725,4773,48
255,388,133
4413,4083,-330
264,386,122
3646,3537,-109
202,332,130
3017,3277,260
174,278,104
3034,3321,287
2235,2646,411
1377,1612,235
1248,1524,276
890,1120,230
654,845,191
601,741,140
779,1032,253
1672,2079,407
3198,3978,780
3832,4403,571
287,571,284
4279,4867,588
216,373,157
4793,5500,707
238,388,150
4853,5533,680
258,369,111
4681,5379,698
233,356,123
4682,5191,509
238,402,164
843,1001,158
606,710,104
402,492,90
368,427,59
368,457,89
805,943,138
1412,1689,277
1848,2181,333
172,283,111
2502,3030,528
153,262,109
3115,4326,1211
175,276,101
3779,4629,850
172,302,130
4138,4706,568
147,303,156
4310,4756,446
199,318,119
4491,4892,401
186,316,130
4970,5298,328
224,361,137
5251,5397,146
225,385,160
5064,5394,330
229,383,154
4576,4926,350
225,368,143
4280,4354,74
243,381,138
4401,4467,66
251,389,138
4073,4273,200
227,387,160
4645,5444,799
3357,3743,386
1471,1527,56
1098,1206,108
654,842,188
570,704,134
580,739,159
1128,1402,274
2815,3432,617
