교통량,평균속도,0010CZS420
1126,89.44,
2354,89.45,
3791,85.12,
4127,78.33,
403,100.11,
4704,78.75,
247,101.62,
4799,78.28,
267,102.08,
4977,73.99,
308,99.48,
4433,75.23,
251,100.57,
4825,77.32,
250,102.84,
4570,79.93,
245,105.68,
4971,79.32,
269,103.7,
4704,80.02,
265,103.14,
4465,80.47,
251,102.11,
4174,79.03,
256,101.57,
3499,79.79,
239,103.21,
2997,82.97,
243,104.64,
2395,85.22,
154,105.03,
2664,87.96,
2095,89.13,
1408,92.99,
904,92.26,
606,91.16,
421,90.25,
369,90.01,
467,91.05,
913,100,
1576,92.87,
1867,85.04,
220,102.2,
2058,80.6,
161,100.09,
2624,81.76,
173,103.17,
3182,79.05,
202,100.25,
3586,77.52,
198,100.39,
3552,78.68,
173,103.02,
4009,78.3,
226,101.74,
4058,76.67,
265,101.98,
4703,78.33,
259,103.18,
4383,80.21,
227,102.76,
3777,73.42,
210,100.44,
3354,69.5,
223,102.79,
3214,79.32,
261,104.67,
3184,82.32,
207,105.07,
3751,85.45,
2920,88.31,
1647,90.4,
1136,90.3,
766,88.56,
609,88.42,
693,88.81,
1496,91.51,
3676,87.16,
5849,79.42,
4971,66.47,
636,93.6,
4574,81.43,
286,103.87,
5031,52.19,
225,98.95,
4886,78.76,
200,101.96,
4959,77.84,
187,103.38,
4191,81.84,
166,105.14,
4632,81.71,
213,110.09,
4646,80.97,
181,106.87,
4495,80.14,
196,105.3,
4313,80.61,
193,104.22,
4035,80.09,
225,102.78,
3111,82.7,
225,104.07,
1637,88.5,
127,109.9,
60,102.17,
2855,29.22,
181,91.62,
4554,36.28,
236,97.42,
4211,66.74,
167,99.09,
4104,83.16,
195,105.58,
4542,81.88,
182,104.81,
4533,79.77,
192,103.6,
4184,82.14,
198,104.44,
4115,79.95,
230,103.61,
3233,83.07,
242,104.09,
2723,84.32,
225,105.45,
2207,87.05,
183,105.34,
112,89.11,
60,107.23,
65,107.56,
82,57.53,
4,96.3,
37,78.06,
2,102.74,
2550,80.09,
115,102.9,
4495,81.81,
182,104.52,
4375,82.18,
197,105.01,
4064,80.21,
228,102.84,
3210,82.19,
236,103.5,
2740,84.46,
255,105.61,
2487,85.02,
194,105.76,
2596,88.29,
1884,90.41,
1382,90.99,
1057,87.88,
830,86.58,
801,79.9,
749,77.83,
1064,79.19,
2115,83.88,
4292,78.36,
4600,71.26,
545,93.98,
4558,76.95,
302,101.03,
4588,76.65,
264,101.28,
4798,73.75,
249,98.96,
4794,74.9,
217,102.07,
4824,72.59,
219,99.39,
4784,78.92,
206,103.39,
5113,77.03,
229,103.62,
5223,77.15,
208,103.88,
4823,76.94,
242,102.03,
4640,76.28,
273,99.35,
4130,78.1,
293,100.32,
3215,81.31,
299,100.78,
3330,81.89,
261,100.43,
3366,86.43,
2531,87.76,
1739,86.19,
1288,85.73,
943,85.45,
778,82.78,
709,85.98,
894,87.74,
1724,89.89,
3018,86.76,
3653,80.84,
338,102.61,
4104,81.24,
204,104.37,
5319,80.38,
235,101.25,
4602,80.2,
233,103.28,
4455,80.89,
213,103.07,
4319,82.91,
218,104.4,
4543,81.72,
241,103.38,
4902,77.92,
241,102.77,
4746,80.41,
219,104.93,
4517,80.96,
260,104.1,
4195,79.16,
246,102.66,
3455,81.15,
256,102.18,
2723,85.67,
202,104.88,
2293,85.58,
150,103.38,
2505,89.07,
1807,88.67,
1243,87.97,
813,90.7,
621,89.43,
405,88,
360,85.6,
446,87.5,
868,90.4,
1614,89.84,
2004,88.09,
219,104.2,
2591,87.07,
146,103.88,
3371,85.64,
189,106.16,
3981,82.28,
216,104.65,
4242,82.72,
183,102.83,
4000,84.33,
174,105.93,
4595,83.37,
205,106.22,
4577,82.86,
211,105.16,
4906,81.31,
221,104.74,
4550,81.28,
228,104.61,
4070,81.04,
197,101.11,
3276,83.07,
235,102.61,
3443,83.21,
236,103.24,
3227,81.97,
190,103.84,
3886,85.74,
2991,87.88,
1844,89.12,
1287,88.63,
803,87.83,
702,86.18,
775,89.32,
1625,91.95,
4000,85.65,
6057,77.37,
5185,45.08,
707,89.17,
5043,47.28,
325,97.14,
4771,78.75,
203,103.52,
5159,76.2,
229,101.56,
4997,76.28,
205,101.61,
5059,78.31,
190,103.87,
4665,78.95,
183,105.15,
4604,79.4,
187,104.28,
4468,79.09,
192,103.12,
4483,80.07,
183,104.99,
4109,80.11,
229,102.93,
3365,81.09,
229,100.88,
2799,82.93,
239,102.15,
2469,84.33,
176,106.61,
2626,87.72,
1869,87.63,
1445,85.74,
1140,82.64,
915,79.98,
790,76.66,
768,77.47,
1152,79.99,
2309,84.58,
4438,79.26,
4960,71.02,
554,94.57,
4909,72.2,
310,100.11,
4902,73.58,
242,100.28,
4829,48.85,
261,95.66,
4921,68.41,
215,101.65,
4876,76.03,
197,102.15,
4758,77.56,
214,102.44,
4648,78.25,
195,102.06,
4597,78.51,
179,103.46,
4519,79.3,
208,103.38,
4196,79.05,
210,102.68,
3245,81.89,
219,102.17,
2765,83.25,
258,103.17,
2589,82.89,
176,103.17,
2497,88.04,
1968,87.45,
1323,87.45,
1010,87.05,
814,85.82,
790,82.05,
706,81.57,
991,83.16,
2206,85.43,
4235,81.77,
4887,71.81,
510,98.06,
4937,76.7,
255,102.54,
5236,73.26,
222,99.42,
4833,52.07,
235,93.03,
5010,46.42,
195,99.55,
4634,74.8,
185,99.93,
4675,76.25,
197,103.5,
4341,78.34,
191,102.29,
4474,78.3,
194,104.38,
4452,77.2,
215,101.77,
4230,78.1,
241,102.87,
3294,79.81,
254,100.76,
2699,81.14,
249,100.9,
2714,80.55,
212,103.68,
2714,85.86,
2196,80.75,
1657,81.4,
1187,80.61,
953,80.38,
732,76.65,
660,80.38,
997,82.31,
2093,84.72,
3805,81.73,
4486,76.69,
508,98.7,
4583,78.77,
232,101.03,
4891,76.29,
198,102.66,
5070,75.83,
224,103.85,
5083,75.07,
189,102.84,
4888,77.15,
