날짜,교통량
2021.01.31,125
2021.01.31,111
2021.01.31,97
2021.01.31,109
2021.01.31,87
2021.01.31,134
2021.01.31,181
2021.01.31,228
2021.01.31,300
2021.01.31,508
2021.01.31,640
2021.01.31,839
2021.01.31,805
2021.01.31,954
2021.01.31,1196
2021.01.31,1242
2021.01.31,1203
2021.01.31,980
2021.01.31,758
2021.01.31,672
2021.01.31,514
2021.01.31,368
2021.01.31,294
2021.01.31,209
2021.01.30,143
2021.01.30,98
2021.01.30,136
2021.01.30,90
2021.01.30,147
2021.01.30,208
2021.01.30,208
2021.01.30,254
2021.01.30,348
2021.01.30,510
2021.01.30,727
2021.01.30,770
2021.01.30,693
2021.01.30,717
2021.01.30,785
2021.01.30,794
2021.01.30,889
2021.01.30,796
2021.01.30,605
2021.01.30,437
2021.01.30,315
2021.01.30,271
2021.01.30,217
2021.01.30,142
2021.01.29,122
2021.01.29,93
2021.01.29,134
2021.01.29,119
2021.01.29,153
2021.01.29,193
2021.01.29,211
2021.01.29,273
2021.01.29,281
2021.01.29,424
2021.01.29,619
2021.01.29,763
2021.01.29,745
2021.01.29,683
2021.01.29,721
2021.01.29,772
2021.01.29,778
2021.01.29,876
2021.01.29,912
2021.01.29,631
2021.01.29,374
2021.01.29,285
2021.01.29,217
2021.01.29,170
2021.01.28,167
2021.01.28,131
2021.01.28,166
2021.01.28,165
2021.01.28,206
2021.01.28,228
2021.01.28,265
2021.01.28,332
2021.01.28,375
2021.01.28,538
2021.01.28,735
2021.01.28,751
2021.01.28,692
2021.01.28,723
2021.01.28,687
2021.01.28,746
2021.01.28,696
2021.01.28,662
2021.01.28,527
2021.01.28,438
2021.01.28,312
2021.01.28,257
2021.01.28,202
2021.01.28,149
2021.01.27,94
2021.01.27,72
2021.01.27,83
2021.01.27,87
2021.01.27,134
2021.01.27,191
2021.01.27,211
2021.01.27,257
2021.01.27,333
2021.01.27,512
2021.01.27,674
2021.01.27,754
2021.01.27,753
2021.01.27,595
2021.01.27,769
2021.01.27,822
2021.01.27,821
2021.01.27,761
2021.01.27,660
2021.01.27,506
2021.01.27,336
2021.01.27,325
2021.01.27,225
2021.01.27,123
2021.01.26,147
2021.01.26,131
2021.01.26,160
2021.01.26,162
2021.01.26,186
2021.01.26,246
2021.01.26,262
2021.01.26,292
2021.01.26,377
2021.01.26,504
2021.01.26,213
2021.01.26,689
2021.01.26,699
2021.01.26,681
2021.01.26,640
2021.01.26,663
2021.01.26,738
2021.01.26,582
2021.01.26,533
2021.01.26,409
2021.01.26,326
2021.01.26,270
2021.01.26,260
2021.01.26,172
2021.01.25,140
2021.01.25,135
2021.01.25,161
2021.01.25,153
2021.01.25,204
2021.01.25,241
2021.01.25,321
2021.01.25,344
2021.01.25,391
2021.01.25,537
2021.01.25,701
2021.01.25,779
2021.01.25,629
2021.01.25,606
2021.01.25,676
2021.01.25,727
2021.01.25,724
2021.01.25,709
2021.01.25,598
2021.01.25,464
2021.01.25,377
2021.01.25,311
2021.01.25,265
2021.01.25,173
2021.01.24,44
2021.01.24,44
2021.01.24,32
2021.01.24,35
2021.01.24,31
2021.01.24,65
2021.01.24,83
2021.01.24,146
2021.01.24,209
2021.01.24,471
2021.01.24,607
2021.01.24,777
2021.01.24,802
2021.01.24,948
2021.01.24,1119
2021.01.24,1255
2021.01.24,1203
2021.01.24,942
2021.01.24,779
2021.01.24,644
2021.01.24,470
2021.01.24,304
2021.01.24,230
2021.01.24,123
2021.01.23,152
2021.01.23,109
2021.01.23,139
2021.01.23,134
2021.01.23,159
2021.01.23,194
2021.01.23,226
2021.01.23,258
2021.01.23,320
2021.01.23,531
2021.01.23,756
2021.01.23,722
2021.01.23,722
2021.01.23,652
2021.01.23,797
2021.01.23,816
2021.01.23,762
2021.01.23,692
2021.01.23,496
2021.01.23,368
2021.01.23,321
2021.01.23,214
2021.01.23,201
2021.01.23,161
2021.01.22,152
2021.01.22,129
2021.01.22,141
2021.01.22,164
2021.01.22,187
2021.01.22,222
2021.01.22,266
2021.01.22,297
2021.01.22,354
2021.01.22,503
2021.01.22,741
2021.01.22,756
2021.01.22,764
2021.01.22,705
2021.01.22,801
2021.01.22,897
2021.01.22,939
2021.01.22,834
2021.01.22,943
2021.01.22,672
2021.01.22,402
2021.01.22,277
2021.01.22,221
2021.01.22,182
2021.01.21,110
2021.01.21,85
2021.01.21,107
2021.01.21,95
2021.01.21,154
2021.01.21,197
2021.01.21,263
2021.01.21,344
2021.01.21,383
2021.01.21,561
2021.01.21,735
2021.01.21,805
2021.01.21,773
2021.01.21,696
2021.01.21,769
2021.01.21,796
2021.01.21,779
2021.01.21,755
2021.01.21,658
2021.01.21,488
2021.01.21,359
2021.01.21,285
2021.01.21,193
2021.01.21,87
2021.01.20,48
2021.01.20,39
2021.01.20,68
2021.01.20,68
2021.01.20,30
2021.01.20,78
2021.01.20,86
2021.01.20,89
2021.01.20,93
2021.01.20,236
2021.01.20,310
2021.01.20,260
2021.01.20,115
2021.01.20,206
2021.01.20,172
2021.01.20,260
2021.01.20,123
2021.01.20,247
2021.01.20,234
2021.01.20,64
2021.01.20,58
2021.01.20,-1
2021.01.20,-1
2021.01.20,-1
2021.01.19,98
2021.01.19,73
2021.01.19,92
2021.01.19,107
2021.01.19,138
2021.01.19,199
2021.01.19,232
2021.01.19,287
2021.01.19,368
2021.01.19,512
2021.01.19,693
2021.01.19,731
2021.01.19,727
2021.01.19,631
2021.01.19,643
2021.01.19,696
2021.01.19,730
2021.01.19,703
2021.01.19,614
2021.01.19,440
2021.01.19,341
2021.01.19,303
2021.01.19,207
2021.01.19,141
2021.01.18,136
2021.01.18,119
2021.01.18,127
2021.01.18,124
2021.01.18,161
2021.01.18,194
2021.01.18,278
2021.01.18,307
2021.01.18,371
2021.01.18,450
2021.01.18,543
2021.01.18,548
2021.01.18,495
2021.01.18,561
2021.01.18,579
2021.01.18,653
2021.01.18,646
2021.01.18,550
2021.01.18,472
2021.01.18,368
2021.01.18,314
2021.01.18,271
2021.01.18,217
2021.01.18,158
2021.01.17,114
2021.01.17,101
2021.01.17,101
2021.01.17,83
2021.01.17,105
2021.01.17,117
2021.01.17,134
2021.01.17,199
2021.01.17,291
2021.01.17,447
2021.01.17,751
2021.01.17,899
2021.01.17,923
2021.01.17,1012
2021.01.17,1161
2021.01.17,1207
2021.01.17,1139
2021.01.17,875
2021.01.17,682
2021.01.17,562
2021.01.17,465
2021.01.17,366
2021.01.17,303
2021.01.17,226
2021.01.16,162
2021.01.16,137
2021.01.16,126
2021.01.16,130
2021.01.16,140
2021.01.16,174
2021.01.16,232
2021.01.16,301
2021.01.16,415
2021.01.16,574
2021.01.16,791
2021.01.16,797
2021.01.16,735
2021.01.16,758
2021.01.16,865
2021.01.16,888
2021.01.16,854
2021.01.16,833
2021.01.16,641
2021.01.16,488
2021.01.16,383
2021.01.16,278
2021.01.16,184
2021.01.16,132
2021.01.15,170
2021.01.15,127
2021.01.15,147
2021.01.15,155
2021.01.15,170
2021.01.15,213
2021.01.15,291
2021.01.15,355
2021.01.15,400
2021.01.15,566
2021.01.15,731
2021.01.15,803
2021.01.15,788
2021.01.15,772
2021.01.15,804
2021.01.15,908
2021.01.15,958
2021.01.15,977
2021.01.15,1012
2021.01.15,829
2021.01.15,558
2021.01.15,422
2021.01.15,313
2021.01.15,237
2021.01.14,138
2021.01.14,90
2021.01.14,110
2021.01.14,118
2021.01.14,136
2021.01.14,223
2021.01.14,245
2021.01.14,323
2021.01.14,404
2021.01.14,579
2021.01.14,704
2021.01.14,745
2021.01.14,731
2021.01.14,637
2021.01.14,737
2021.01.14,829
2021.01.14,742
2021.01.14,809
2021.01.14,683
2021.01.14,568
2021.01.14,480
2021.01.14,364
2021.01.14,268
2021.01.14,150
2021.01.13,113
2021.01.13,88
2021.01.13,84
2021.01.13,109
2021.01.13,142
2021.01.13,197
2021.01.13,199
2021.01.13,312
2021.01.13,371
2021.01.13,518
2021.01.13,637
2021.01.13,727
2021.01.13,658
2021.01.13,679
2021.01.13,677
2021.01.13,714
2021.01.13,767
2021.01.13,655
2021.01.13,672
2021.01.13,450
2021.01.13,415
2021.01.13,344
2021.01.13,245
2021.01.13,155
2021.01.12,116
2021.01.12,79
2021.01.12,99
2021.01.12,85
2021.01.12,145
2021.01.12,196
2021.01.12,244
2021.01.12,306
2021.01.12,358
2021.01.12,483
2021.01.12,634
2021.01.12,745
2021.01.12,643
2021.01.12,610
2021.01.12,687
2021.01.12,723
2021.01.12,770
2021.01.12,696
2021.01.12,516
2021.01.12,420
2021.01.12,374
2021.01.12,323
2021.01.12,246
2021.01.12,116
2021.01.11,107
2021.01.11,98
2021.01.11,74
2021.01.11,98
2021.01.11,117
2021.01.11,231
2021.01.11,275
2021.01.11,399
2021.01.11,418
2021.01.11,467
2021.01.11,675
2021.01.11,670
2021.01.11,646
2021.01.11,563
2021.01.11,593
2021.01.11,659
2021.01.11,686
2021.01.11,637
2021.01.11,595
2021.01.11,466
2021.01.11,355
2021.01.11,363
2021.01.11,209
2021.01.11,159
2021.01.10,59
2021.01.10,46
2021.01.10,48
2021.01.10,44
2021.01.10,44
2021.01.10,67
2021.01.10,101
2021.01.10,125
2021.01.10,180
2021.01.10,326
2021.01.10,519
2021.01.10,657
2021.01.10,700
2021.01.10,683
2021.01.10,802
2021.01.10,820
2021.01.10,837
2021.01.10,667
2021.01.10,532
2021.01.10,443
