날짜,교통량
2021.01.31,40
2021.01.31,34
2021.01.31,23
2021.01.31,34
2021.01.31,23
2021.01.31,52
2021.01.31,95
2021.01.31,179
2021.01.31,216
2021.01.31,347
2021.01.31,492
2021.01.31,548
2021.01.31,566
2021.01.31,554
2021.01.31,589
2021.01.31,636
2021.01.31,577
2021.01.31,503
2021.01.31,412
2021.01.31,360
2021.01.31,301
2021.01.31,241
2021.01.31,152
2021.01.31,106
2021.01.30,48
2021.01.30,37
2021.01.30,31
2021.01.30,41
2021.01.30,51
2021.01.30,81
2021.01.30,176
2021.01.30,301
2021.01.30,400
2021.01.30,483
2021.01.30,637
2021.01.30,645
2021.01.30,583
2021.01.30,567
2021.01.30,661
2021.01.30,658
2021.01.30,551
2021.01.30,487
2021.01.30,388
2021.01.30,266
2021.01.30,170
2021.01.30,162
2021.01.30,104
2021.01.30,61
2021.01.29,34
2021.01.29,36
2021.01.29,30
2021.01.29,36
2021.01.29,46
2021.01.29,63
2021.01.29,121
2021.01.29,243
2021.01.29,327
2021.01.29,376
2021.01.29,496
2021.01.29,496
2021.01.29,444
2021.01.29,463
2021.01.29,473
2021.01.29,491
2021.01.29,497
2021.01.29,462
2021.01.29,430
2021.01.29,320
2021.01.29,221
2021.01.29,198
2021.01.29,111
2021.01.29,67
2021.01.28,54
2021.01.28,48
2021.01.28,36
2021.01.28,45
2021.01.28,79
2021.01.28,112
2021.01.28,183
2021.01.28,373
2021.01.28,516
2021.01.28,556
2021.01.28,590
2021.01.28,566
2021.01.28,451
2021.01.28,513
2021.01.28,475
2021.01.28,457
2021.01.28,424
2021.01.28,328
2021.01.28,279
2021.01.28,224
2021.01.28,132
2021.01.28,112
2021.01.28,69
2021.01.28,49
2021.01.27,50
2021.01.27,28
2021.01.27,33
2021.01.27,48
2021.01.27,85
2021.01.27,99
2021.01.27,222
2021.01.27,425
2021.01.27,539
2021.01.27,627
2021.01.27,643
2021.01.27,595
2021.01.27,491
2021.01.27,513
2021.01.27,551
2021.01.27,487
2021.01.27,487
2021.01.27,449
