교통량,평균속도
4180,63.45
3751,66.48
3875,63.65
3333,59
3346,59.54
3145,77.93
3212,76.8
3187,57.82
3310,72.4
3542,69.49
3862,42.98
3416,27.35
2613,26.06
3383,60.55
2945,84.08
3057,86.28
1629,100.98
847,106.36
471,104.95
322,104.17
232,101.54
364,98.06
1164,96.88
2978,87.7
4183,62.13
3703,69.17
3740,71.71
3764,66.24
3752,67.5
3198,77.52
3006,78.2
3019,78.68
3355,71.93
3761,45.96
3750,40.38
3246,23.05
3254,25.53
3273,72.57
3007,83.46
3021,86.25
1783,100.11
876,107.58
516,109.1
340,105.28
262,102.56
342,100.51
1251,97.12
3134,85.86
4185,64.57
3760,73.94
3788,68.15
3845,48.37
3344,63.44
3102,79.01
3142,76.96
3059,77.44
3230,74.36
3637,52.94
3767,40.52
3336,25.71
3494,31.9
3118,73.27
3090,82.03
2959,87.97
1815,99.53
933,107.7
497,107.39
296,107.78
260,101.95
353,101.62
1253,96.68
3148,85.9
3900,72.4
3776,72.14
3616,74.75
3407,74.64
3599,64.13
3446,74.05
3654,70.54
3367,74.69
3706,54.15
3569,37.4
3270,24.38
3180,22.25
3268,25.56
3275,29.23
3366,74.65
3034,83.88
1831,96.69
1050,105.5
678,107.83
450,108.34
293,104.93
351,101.47
997,98.07
1892,95.16
1937,92.62
2472,87.59
3212,75.09
3505,60.06
3468,64.19
3405,61.15
3626,55.17
3497,51.88
3337,64.34
3518,38.93
3164,55.19
3196,56.64
2760,70.88
2156,80.47
2007,82.04
2126,82.5
1084,94.16
595,99.48
352,102.34
208,101.36
159,100.56
201,99.35
458,98.97
886,101.83
918,99.61
1093,97.64
1784,94.98
2777,86.24
3211,81.51
2967,83.68
3140,82.66
3332,79.05
3629,63.55
3656,51.22
3592,72.89
3049,80.86
2525,86.34
2460,88.13
2527,89.05
2058,95.16
1068,103.07
545,106.56
287,105.99
180,102.56
185,101.37
341,97.59
1437,97.35
3915,70.01
3877,35.53
3400,58.33
3789,70.02
3601,69.82
3541,73.5
3275,77.73
2994,80.09
2955,78.97
3293,70.99
3645,68.36
3898,44.89
3419,25.44
3508,31.17
3278,76.32
2901,84.65
2762,89.69
1377,102.85
741,107.31
415,106.65
299,105.75
203,102.6
317,99.34
1145,97.76
3148,86.78
4160,54.17
3701,57.32
3977,53.2
3450,45.4
3308,68.31
3539,64.81
3017,78.78
3014,78.82
3162,75.47
3598,63.15
3824,42.15
3301,23.75
3422,28.77
3079,78.11
3036,82.68
2922,87.27
1674,100.85
798,105.78
413,105.64
273,106.29
216,101.11
361,98.82
1238,97.05
3084,87.57
4107,71
3929,72.79
3835,56.76
3740,45.83
3786,63.03
3237,75.6
3047,77.84
2935,77.96
2899,78.31
3690,55.07
3796,40.78
3267,23.85
3133,26.11
3102,74.27
3100,81.69
2976,87.96
1630,100.49
862,105.55
459,106.92
330,105.57
234,101.33
292,99.69
1318,97.27
3193,86.12
4171,67.8
3825,51.39
3924,55.07
3599,56.64
3703,68.13
3159,78.34
3106,78.02
3143,75.75
3432,72.41
3688,65.33
3742,39.63
3242,23.38
3394,29.14
2984,76.08
3107,79.9
2964,83.98
1476,71.87
757,102.62
474,105.56
311,105.69
234,98.41
366,99.3
1279,96.72
3156,86.94
3949,72.02
3951,71.11
3783,71.32
3713,48.44
3811,63.34
3756,53.87
3364,74.51
3683,67.99
3701,45.24
3780,41.68
3306,25.74
3202,22.84
3033,21.92
3161,41.14
3190,76.46
2913,83.18
1725,95.24
916,103.17
618,105.16
396,104.55
308,103.27
374,100.84
1121,99.36
2140,94.73
2604,86.73
3568,74.77
3880,53.58
3894,52.23
3722,42.07
3732,51.54
3604,51.31
3708,51.75
3587,41.1
3490,37.31
3480,39.79
3406,57.53
3018,78.96
2573,83.6
2542,85.75
2298,90.06
1330,100.8
727,107.44
400,109.34
259,108.65
203,106.66
190,102.5
637,103.69
1014,102.14
1037,100.55
1301,99.16
1937,93.93
2724,86.48
3081,82.72
3041,84.17
3267,78.21
3277,78.4
3545,73.27
3522,64.7
3554,71.53
3054,82.55
2420,87.47
2450,88.58
2356,89.53
1948,95.51
1138,103.95
523,107.26
300,105.31
223,106.39
189,98.11
337,102.71
1507,97.02
3771,74.51
3961,51.3
3399,79.41
3220,79.83
3042,80.55
3186,77.4
3080,76.69
3111,73.7
3274,69.96
3343,66.69
3556,61.69
3570,39.59
2979,20.46
3123,22.71
3496,43.97
2945,73.63
2440,80.59
1267,93.06
696,95.71
393,95.72
244,96.12
209,94.72
316,93.82
1148,90.99
2914,84.41
4094,51.98
3567,29.28
3631,63.23
3712,68.31
3773,66.53
3390,74.54
2953,79.44
3123,72.6
3209,76.47
3647,68.72
3891,43.47
3392,26.98
3405,45.38
3034,80.98
2820,85.25
2864,88.43
1406,101.37
707,106.14
445,104.6
271,102.79
250,102.2
354,99.94
1282,95.84
3172,87.01
4088,70.5
3842,73.4
3892,68.6
3855,68.14
3633,75.15
3145,77.98
3017,79.2
3140,76.76
3569,68.48
3635,70.09
3864,44.36
3449,28.34
3313,32.5
3141,78.5
2957,83.9
2874,87.96
1618,101.61
781,107.16
495,104.79
298,105.38
239,100.44
353,100.8
1301,97.71
3205,85.98
4059,72.15
3839,73.03
3980,59.21
3747,52.96
3736,68.36
3527,73.2
2284,35.96
2326,51.73
3340,64.9
3454,65.18
3695,36.69
3247,23.53
3431,29.45
3318,70.77
3054,82.46
3008,85.85
1692,100.2
795,106.68
480,102.71
309,99.31
260,97.41
349,95.43
1159,88.08
3028,70.25
4046,74.53
3603,73.57
3545,67.1
3630,61.26
3500,44.93
3477,50.94
3388,70.03
3363,43.77
3716,41.4
3742,34.62
3547,22.55
3151,22.35
3060,64.14
3086,84.07
2938,87.11
2875,97.01
1711,106.69
953,104.51
618,107.43
386,105.44
263,100.38
357,101.24
1218,98.07
2262,92.65
2312,90.48
3177,80.07
3572,74.84
3418,75.53
3901,50.87
3698,57.76
3542,54.6
3641,53.26
3422,63.43
3590,41.91
3581,52.36
3543,49.41
2752,82.03
2353,86.99
2567,85.56
2238,92.78
1261,100.65
647,106.9
397,106.71
244,108.51
207,106.03
202,99.26
569,101.13
1004,102.6
943,100.11
1182,97.71
1852,94.42
2747,85.08
3147,80.83
3157,81.03
3200,80.96
3298,74.94
3428,72.89
3579,71.1
3432,70.14
2907,83.98
2433,86.42
2601,85.51
2597,87.1
2041,93.72
1023,103.69
568,107.96
269,103.76
221,100.73
192,99.29
323,99.23
1525,96.22
3892,69.37
3939,38.61
3643,59.33
3641,75.13
3406,75.2
3646,69.45
3056,78.64
3164,77.85
2891,77.98
3285,73.19
3785,64.42
3851,41.53
3497,28.26
3401,39.93
3437,73.83
2889,85.17
2749,89.37
1397,100.98
708,106.06
408,104.71
280,104.94
218,100.49
331,99.19
1260,97.46
3233,85.1
4158,70.01
3704,74.83
3924,56.35
3782,62
3852,51.48
3502,64.31
3033,78.43
3027,78.5
3233,75.58
3657,63.08
3764,41.65
3325,24.78
3372,36.41
3218,77.33
2983,83.75
2873,87.82
1454,100.5
812,106.49
455,104.93
270,105.41
213,105.1
336,101.33
1262,97.78
3160,87.29
4169,57.08
3727,57.02
3815,61.05
3640,70.39
3624,71.79
3185,76.16
3174,76.54
3066,77.41
3534,65.72
3650,59.7
3588,35.7
3183,22.37
3098,22.43
3159,58.41
3019,83.94
2926,86.12
1599,99.62
827,105.78
460,105.58
302,105.08
231,102.61
317,99.73
1280,97.25
3096,87.35
4086,69.77
3902,60.63
3892,62.87
3650,66.62
3680,62.03
3517,71.44
3371,73.02
3072,77.31
3389,66.95
3792,61.1
3779,38.5
3205,22.65
3435,35.47
3118,79.23
2924,83.16
2968,86.69
1611,99.93
787,105.87
472,105.91
352,103.87
239,102.41
361,99.49
1212,96
2998,87.64
4091,64.81
3660,74.22
3622,72.54
3614,65.36
3619,70.7
3498,70.87
3240,76.15
3584,52.71
3695,57.66
3730,41.6
3303,26.56
3086,21.47
3209,24.21
3458,43.01
2977,82.05
2854,86.65
1758,97.7
973,106.21
604,105.42
396,106.41
339,103.47
385,100.55
1208,98.94
2203,92.87
2671,85.62
3304,77.4
3475,76.81
3606,60.84
3794,41.33
3698,44.39
3695,49.99
3472,58.39
3580,44.87
3495,54.84
3529,40.65
3554,62.86
2653,81.46
2459,85.75
2380,87.61
2270,90.73
1324,100.19
718,106.88
408,104.42
271,107.78
204,108.33
213,107.1
661,103.73
1013,101.8
1001,99.63
1202,98.44
1861,93.64
2611,87.79
3051,83.1
3001,82.03
3204,79.19
3143,77.12
3549,52.99
3483,63.63
3294,76.36
2701,85.58
2380,87.13
2378,87.35
2370,90.09
2085,93.12
1114,103.15
553,106.79
305,106.97
219,104.4
179,100.08
343,99.28
1545,96.7
3938,73.86
4017,44.02
3663,48.98
3635,72.5
3552,73.3
3697,58.89
3433,58.05
3335,73.33
2867,77.7
3233,74.82
3728,53.11
3774,39.98
3323,25.56
3647,34.26
3363,72.08
2820,84.1
2685,90.14
1340,101.77
746,104.8
398,104.59
267,106.17
244,100.27
341,98.21
1340,95.22
3253,85.03
4006,71.02
3853,72.28
3919,56.12
3713,60.96
3808,42.35
3175,71.83
2963,78.89
2858,78.46
3404,70.44
3811,47.49
3859,39.72
3160,22.37
3416,32.6
3280,75.86
2999,82.85
2735,88.71
1440,99.99
729,98.7
449,98.51
290,99.28
221,98.82
338,96.14
1293,96.54
3231,84.52
4046,68.33
3956,70.47
3974,53
3606,69.1
3842,60.51
3209,55.53
2948,77.59
2945,77.54
2940,55.35
3230,57.93
3836,40.58
3220,24.42
3241,43.48
3127,79.21
2955,83.39
2885,87.05
1599,100.12
820,104.51
459,106.58
277,104.71
266,100.57
324,98.44
1336,97.06
3263,85.37
4158,68.35
3759,48.72
3576,45.88
3458,68.76
3810,59.5
3659,64.94
3155,76.52
3099,76.32
3496,66.62
3774,43.93
3419,30.81
3195,22.93
3435,27.6
3353,70.7
3056,81.93
2841,79.31
1806,88.21
847,96.68
495,94.23
303,95.28
235,91.37
346,92.39
1096,93.18
2945,83.01
3969,65.14
3808,68.07
3859,70.37
3555,71.75
3814,56.28
3448,56.21
3554,70.76
3596,69.43
3698,42.85
3741,40.37
3157,23.1
3088,20.86
2780,18.53
3302,26.81
3155,67.42
2973,84.68
1896,95.37
