교통량,평균속도
236,106.61
130,114.85
66,116.42
47,111.94
28,111.62
17,111.51
49,108.51
243,112.97
1085,101.06
1047,39.38
1026,45.83
1361,101.14
1326,101.31
1265,102.49
1157,104.66
1057,105.81
1265,101.06
1429,100.57
1509,97.26
1155,102.97
1073,101.92
974,104.51
876,110.58
812,112.65
392,120.08
174,122.91
111,123.73
64,123.01
47,112.6
27,116.51
39,118.33
161,115.13
389,114.12
496,113.29
704,114.69
1030,109.57
1405,104.47
1367,106.52
1414,106.39
1234,109.12
1172,110.21
1272,109.12
1410,107.24
1187,109.62
744,112.11
595,118.52
498,118.59
465,119.83
240,122.73
125,127.07
71,125.5
44,124.21
39,121.56
21,118.23
10,124.58
44,119.31
106,119.18
150,122.97
284,122.45
444,120.83
642,119.87
926,117.3
1067,117.52
921,117.39
818,116.43
963,114.58
950,115.56
761,114.58
518,116.14
542,115.05
549,117.22
530,119.38
347,122.34
169,126.82
80,122.73
49,124.02
30,120.5
46,118.38
60,116.16
453,117.68
1149,72.35
1142,30.06
1016,21.6
1143,101.19
1219,104.32
1014,108.7
1007,108.38
1032,110.84
1185,106.4
939,101.03
2900,69.36
3934,44.04
3466,28.08
3572,32.41
3438,60.84
3295,79.18
2125,93.05
1114,102.88
660,104.92
431,106.75
259,103.74
226,100.53
255,96.81
963,97.05
2596,87.71
3690,74.1
3950,67.04
3700,63.22
3453,62.94
3443,65.03
3530,64.28
3222,70.76
2314,75.4
3260,69.2
3359,52.68
3512,33.31
3167,23.26
3349,28.11
3416,58.05
3343,76.45
2180,89.29
1109,101.28
709,104.34
355,105.81
252,103.86
197,100.96
255,99.3
963,97.91
2548,88.14
3786,75.43
4071,61.49
3762,67.41
3388,73.88
3321,76.45
2873,80.52
2964,78.96
3039,77.8
3346,74.35
3738,68.14
3838,42.04
3288,24.97
3381,27.86
3415,62.91
3517,73.71
2379,90.78
1223,102.21
736,106.53
425,105.19
277,101.98
224,102.74
299,101.59
939,98.13
2477,89.31
3744,73.72
3845,73.83
3495,76.31
2622,53.1
2732,54.97
2984,72.22
2471,79.1
2323,82.16
2565,81.27
3009,77.27
3733,67.21
3615,66.93
2846,79.21
2722,83.32
2934,83.11
1809,93.98
997,103.15
609,104.43
404,104.24
255,101.44
210,97.79
245,94.03
819,97.93
2214,89.65
3527,75.73
3648,77.9
3437,78.03
2893,77.7
2755,77.32
2771,77.62
2902,74.47
2899,75.15
2997,73.77
3693,58.64
3665,34.63
3181,23.48
3203,24.62
3290,44.62
3224,80.81
2604,87.15
1230,101.29
816,104.89
577,104.66
356,105.9
271,102.28
264,97.23
779,98.62
1398,92.65
1651,89.72
2263,86.23
2545,83.12
2795,80.71
3253,74.66
3559,45.2
3394,75.66
3690,69.78
3693,40.93
3426,65.59
3699,41.25
3262,67.01
2544,84.3
2319,87.41
2526,85.06
1632,96.94
947,102.75
592,106.05
349,105.13
220,107.36
163,106.42
155,98.95
295,100.29
523,98.33
755,96.92
1102,98.77
1700,95.66
2108,91.91
2422,88
2544,88.6
2959,81.8
3213,79.17
3141,79.47
3408,46
3155,79.06
2543,84.79
2239,88.14
2222,90.26
2242,91.39
1342,98.72
829,101.27
391,104.19
238,102.98
183,97.97
192,94.2
297,95.16
1140,94.02
3004,79.31
3899,54.92
3663,72.45
3501,74.54
3015,78.19
3013,77.62
2509,83.95
3002,74.07
2808,79.13
3247,75.19
3757,68.27
3984,46.38
3390,26.94
3328,26.75
3275,71.95
3283,80.49
2070,93.54
1066,102.6
616,107.51
436,103.81
208,103.83
184,102.3
262,101.12
886,97.53
2449,88.93
3781,75.9
4019,73.1
3670,75.41
3200,78.66
3126,76.96
3035,78.62
2933,78.46
3022,77.16
2983,74.6
3715,67.21
3957,44.03
3258,24.22
3359,27.96
3517,60.31
2935,34.59
2058,85.18
1062,96.88
602,103.11
372,104.2
238,101.59
189,98.93
261,99.13
636,97.66
441,88.68
3843,73.8
3765,75.93
3803,70.6
3561,71.53
3276,75.51
2124,78.64
2408,77.78
2701,76.51
3168,75.42
3840,54.6
3789,36.21
3202,22.48
3202,24.37
3022,61.61
2650,72.66
1351,76.18
723,88.77
382,75.34
276,86.14
199,89.36
155,83.83
175,79.89
705,80.66
2067,73.01
3184,63.59
3310,67.44
3156,70.71
2800,74.62
1971,78.27
2756,77.83
2685,78.52
2601,78.36
2913,77.3
3352,72.55
3874,48.04
3312,25.99
3336,40.42
2935,78.07
3176,76.94
2225,88.72
1166,99.72
688,103.17
400,103.71
271,100.02
244,98.34
262,97.83
965,95.09
2423,86.81
3631,74.07
3769,73.66
3716,72.02
3421,75.12
3460,72.06
3397,74.02
3317,66.51
3186,55.14
3576,59.23
3724,41.2
3359,26.45
3133,21.9
3194,23.89
3518,49.98
3679,62.61
2746,83.47
1450,97.89
835,102.53
549,106.25
340,103.34
272,101.14
280,100.74
775,97.02
1490,92.4
1934,87.7
2514,85.39
3027,79.81
3152,77.76
3704,48.01
3367,72.47
3609,69.03
3542,53.77
3559,58.9
3751,47.92
3564,50.34
3454,59.07
2678,81.06
2250,88.15
2536,85.47
1615,93.56
972,101.49
635,105.37
373,106.99
241,105.18
188,101.82
173,101.29
373,98.15
703,98.43
856,95.35
1248,98.03
1829,94.11
2185,90.85
2396,87.53
2686,86.57
2892,83.98
3023,81.74
3148,79.65
3107,80.79
3001,82.53
2490,85.77
2205,88.51
2181,91.11
2299,91.45
1381,98.66
798,103.94
409,107.69
262,104.65
190,102
156,99.15
275,98.48
1149,97.22
3040,85.96
4026,67.51
3815,74.22
3965,64.85
3380,55.02
2973,64.89
3394,74.52
3479,67.54
3165,76.91
3527,70.53
3851,60.75
3923,42.4
3337,24.78
3350,26.48
3667,37.68
3638,63.47
2560,87.82
1213,100.91
737,105.81
449,104.89
332,104.75
220,100.03
292,96.85
932,97.42
2545,86.72
3770,74.31
4078,65.81
3902,68.7
2804,65.62
3434,66.65
3667,69.63
3536,70.73
3451,72.07
3409,38.49
3627,38.46
3593,31.63
3187,22.63
3128,22.55
3464,31.3
3478,52.34
2676,85.58
1519,97.83
920,102.56
507,103.59
329,103.3
255,101.61
320,97.63
792,97.6
2271,89.23
3521,78.02
3723,75.02
3504,75.68
3250,76.62
3179,79.08
3250,76.82
3765,54.99
3712,41.36
3822,44.08
3434,31.55
3109,22.79
3137,22.79
2996,35.51
2819,80.73
2999,80.91
2606,84.61
1392,97.73
805,105.05
465,104.45
335,100.98
255,101.03
299,97.1
424,96
730,95.88
1135,94.14
1648,92.9
1980,90.61
2921,81.18
3303,76.54
3339,78.75
3324,75.82
2872,84
3130,79.7
2928,82.97
2908,83.62
2188,88.84
1847,91.32
1794,92.56
1939,93.67
1252,99.21
684,104.52
377,105.09
236,106.58
