날짜,교통량
2021.01.31,146
2021.01.31,146
2021.01.31,134
2021.01.31,86
2021.01.31,69
2021.01.31,139
2021.01.31,173
2021.01.31,219
2021.01.31,288
2021.01.31,401
2021.01.31,534
2021.01.31,690
2021.01.31,657
2021.01.31,673
2021.01.31,736
2021.01.31,778
2021.01.31,785
2021.01.31,745
2021.01.31,617
2021.01.31,475
2021.01.31,434
2021.01.31,395
2021.01.31,283
2021.01.31,214
2021.01.30,215
2021.01.30,204
2021.01.30,177
2021.01.30,136
2021.01.30,155
2021.01.30,219
2021.01.30,270
2021.01.30,382
2021.01.30,495
2021.01.30,670
2021.01.30,881
2021.01.30,1000
2021.01.30,962
2021.01.30,956
2021.01.30,862
2021.01.30,990
2021.01.30,817
2021.01.30,736
2021.01.30,586
2021.01.30,452
2021.01.30,334
2021.01.30,300
2021.01.30,231
2021.01.30,173
2021.01.29,104
2021.01.29,93
2021.01.29,67
2021.01.29,78
2021.01.29,89
2021.01.29,193
2021.01.29,242
2021.01.29,283
2021.01.29,389
2021.01.29,439
2021.01.29,539
2021.01.29,690
2021.01.29,726
2021.01.29,759
2021.01.29,828
2021.01.29,799
2021.01.29,851
2021.01.29,838
2021.01.29,738
2021.01.29,612
2021.01.29,542
2021.01.29,430
2021.01.29,357
2021.01.29,280
2021.01.28,155
2021.01.28,114
2021.01.28,119
2021.01.28,106
2021.01.28,164
2021.01.28,286
2021.01.28,339
2021.01.28,395
2021.01.28,448
2021.01.28,512
2021.01.28,683
2021.01.28,723
2021.01.28,748
2021.01.28,709
2021.01.28,752
2021.01.28,689
2021.01.28,612
2021.01.28,527
2021.01.28,444
2021.01.28,357
2021.01.28,325
2021.01.28,250
2021.01.28,213
2021.01.28,149
2021.01.27,130
2021.01.27,96
2021.01.27,107
2021.01.27,88
2021.01.27,128
2021.01.27,204
2021.01.27,324
2021.01.27,407
2021.01.27,465
2021.01.27,548
2021.01.27,714
2021.01.27,741
2021.01.27,732
2021.01.27,726
2021.01.27,791
2021.01.27,788
2021.01.27,675
2021.01.27,635
2021.01.27,512
2021.01.27,386
2021.01.27,296
2021.01.27,244
2021.01.27,209
2021.01.27,164
2021.01.26,143
2021.01.26,110
2021.01.26,101
2021.01.26,125
2021.01.26,142
2021.01.26,265
2021.01.26,310
2021.01.26,351
2021.01.26,398
2021.01.26,493
2021.01.26,210
2021.01.26,705
2021.01.26,663
2021.01.26,796
2021.01.26,792
2021.01.26,684
2021.01.26,705
2021.01.26,627
2021.01.26,491
2021.01.26,380
2021.01.26,349
2021.01.26,268
2021.01.26,253
2021.01.26,218
2021.01.25,149
2021.01.25,106
2021.01.25,102
2021.01.25,119
2021.01.25,174
2021.01.25,289
2021.01.25,402
2021.01.25,495
2021.01.25,505
2021.01.25,558
2021.01.25,689
2021.01.25,698
2021.01.25,723
2021.01.25,690
2021.01.25,818
2021.01.25,814
2021.01.25,705
2021.01.25,672
2021.01.25,491
2021.01.25,399
2021.01.25,367
2021.01.25,292
2021.01.25,245
2021.01.25,206
2021.01.24,133
2021.01.24,104
2021.01.24,76
2021.01.24,79
2021.01.24,91
2021.01.24,118
2021.01.24,147
2021.01.24,247
2021.01.24,289
2021.01.24,394
2021.01.24,534
2021.01.24,693
2021.01.24,676
2021.01.24,711
2021.01.24,775
2021.01.24,793
2021.01.24,895
2021.01.24,783
2021.01.24,633
2021.01.24,510
2021.01.24,454
2021.01.24,376
2021.01.24,354
2021.01.24,225
2021.01.23,245
2021.01.23,177
2021.01.23,119
2021.01.23,143
2021.01.23,143
2021.01.23,194
2021.01.23,229
2021.01.23,306
2021.01.23,463
2021.01.23,604
2021.01.23,815
2021.01.23,967
2021.01.23,951
2021.01.23,804
2021.01.23,956
2021.01.23,910
2021.01.23,780
2021.01.23,708
2021.01.23,534
2021.01.23,423
2021.01.23,374
2021.01.23,295
2021.01.23,229
2021.01.23,170
2021.01.22,115
2021.01.22,93
2021.01.22,106
2021.01.22,100
2021.01.22,127
2021.01.22,220
2021.01.22,289
2021.01.22,333
2021.01.22,378
2021.01.22,491
2021.01.22,641
2021.01.22,729
2021.01.22,771
2021.01.22,752
2021.01.22,850
2021.01.22,845
2021.01.22,860
2021.01.22,818
2021.01.22,741
2021.01.22,588
2021.01.22,524
2021.01.22,446
2021.01.22,363
2021.01.22,264
2021.01.21,130
2021.01.21,106
2021.01.21,99
2021.01.21,84
2021.01.21,137
2021.01.21,205
2021.01.21,290
2021.01.21,357
2021.01.21,431
2021.01.21,528
2021.01.21,699
2021.01.21,707
2021.01.21,761
2021.01.21,712
2021.01.21,764
2021.01.21,691
2021.01.21,671
2021.01.21,610
2021.01.21,451
2021.01.21,389
2021.01.21,335
2021.01.21,273
2021.01.21,244
2021.01.21,187
2021.01.20,48
2021.01.20,39
2021.01.20,75
2021.01.20,68
2021.01.20,30
2021.01.20,72
2021.01.20,104
2021.01.20,111
2021.01.20,100
2021.01.20,236
2021.01.20,288
2021.01.20,240
2021.01.20,101
2021.01.20,220
2021.01.20,176
2021.01.20,226
2021.01.20,115
2021.01.20,190
2021.01.20,166
2021.01.20,52
2021.01.20,34
2021.01.20,-1
2021.01.20,-1
2021.01.20,-1
2021.01.19,100
2021.01.19,91
2021.01.19,67
2021.01.19,93
2021.01.19,110
2021.01.19,189
2021.01.19,254
2021.01.19,313
2021.01.19,369
2021.01.19,493
2021.01.19,593
2021.01.19,680
2021.01.19,651
2021.01.19,733
2021.01.19,747
2021.01.19,683
2021.01.19,642
2021.01.19,560
2021.01.19,490
2021.01.19,351
2021.01.19,287
2021.01.19,266
2021.01.19,196
2021.01.19,155
2021.01.18,140
2021.01.18,101
2021.01.18,71
2021.01.18,72
2021.01.18,124
2021.01.18,192
2021.01.18,294
2021.01.18,353
2021.01.18,387
2021.01.18,333
2021.01.18,383
2021.01.18,462
2021.01.18,608
2021.01.18,689
2021.01.18,617
2021.01.18,608
2021.01.18,547
2021.01.18,488
2021.01.18,425
2021.01.18,302
2021.01.18,251
2021.01.18,228
2021.01.18,154
2021.01.18,108
2021.01.17,109
2021.01.17,111
2021.01.17,81
2021.01.17,52
2021.01.17,85
2021.01.17,107
2021.01.17,147
2021.01.17,186
2021.01.17,224
2021.01.17,352
2021.01.17,472
2021.01.17,633
2021.01.17,651
2021.01.17,686
2021.01.17,783
2021.01.17,869
2021.01.17,847
2021.01.17,794
2021.01.17,640
2021.01.17,544
2021.01.17,470
2021.01.17,398
2021.01.17,310
2021.01.17,234
2021.01.16,245
2021.01.16,158
2021.01.16,138
2021.01.16,99
2021.01.16,140
2021.01.16,196
2021.01.16,274
2021.01.16,321
2021.01.16,424
2021.01.16,644
2021.01.16,833
2021.01.16,910
2021.01.16,877
2021.01.16,878
2021.01.16,911
2021.01.16,904
2021.01.16,816
2021.01.16,726
2021.01.16,548
2021.01.16,421
2021.01.16,346
2021.01.16,278
