교통량,평균속도,0010CZS440
1241,100.39,
2994,99.54,
4831,91.11,
4915,79.07,
526,98.36,
5040,84.68,
327,101.86,
5495,80.98,
395,96.01,
5829,69.51,
459,87.84,
5708,58.86,
464,92.67,
5500,55.35,
398,92.17,
5599,72.59,
374,89.04,
5609,68.04,
400,94.6,
5527,74.22,
412,96.03,
5395,80.58,
439,100.82,
5137,78.63,
385,100.77,
4850,81.02,
445,102.4,
4087,88.08,
360,104.2,
3273,91.82,
268,104.39,
3747,97.44,
2846,100.13,
1787,104.25,
1179,104.97,
742,105.32,
528,101.8,
435,101.94,
556,103.43,
1121,104.16,
2244,101.47,
2354,87.14,
315,101.56,
2712,81.28,
281,96.06,
3320,82.84,
278,98.29,
4220,82.32,
338,98.8,
4228,74.36,
315,98.59,
4609,79.3,
318,97.02,
4907,78.33,
382,99.21,
5107,75.89,
406,98.37,
5286,77.8,
370,101.4,
5145,81.35,
328,101.01,
4837,78.98,
343,100.63,
4204,83.93,
361,104.39,
4184,85.85,
366,105.52,
4024,86.86,
329,103.76,
4773,94.4,
3392,100.66,
1951,103.57,
1264,102.05,
816,99.64,
669,97.65,
726,99.06,
1705,101.99,
4859,93.45,
6921,56.47,
5156,37.15,
876,62.18,
5522,42.88,
413,94.32,
5389,78.99,
327,98.71,
5585,80.26,
370,81.51,
5517,76.59,
338,92.45,
4961,82.76,
293,95.81,
5231,80.95,
323,95.17,
4960,82.4,
297,95.35,
5024,78.33,
688,85.71,
4975,81.1,
385,98.84,
4698,81.24,
340,97.96,
4587,82.47,
417,101.71,
4228,84.02,
418,100.48,
3415,90.77,
320,103.88,
3356,96.96,
2241,100.46,
1468,100.76,
1184,98.75,
835,96.81,
756,94.75,
696,94.23,
1063,96.49,
2973,97.11,
5927,86.48,
5532,67.27,
782,89.65,
3952,47.35,
376,95.1,
4435,87.9,
304,101.26,
4932,84.26,
359,87.35,
5127,81.94,
349,94.3,
4734,83.7,
322,94.75,
4656,83.65,
303,94.2,
5014,83.08,
301,94.61,
5045,77.73,
691,85.13,
4829,82.34,
355,99.04,
4762,80.31,
335,101.29,
4591,83.81,
461,99.71,
4201,85.61,
409,102.37,
3298,91.05,
324,104.29,
3257,97.21,
2235,100.44,
1537,100.86,
1151,98.86,
879,97.37,
720,94.32,
716,95.12,
1034,96.31,
2782,96.37,
5760,86.78,
5711,61.32,
780,91.4,
5596,45.68,
427,93.53,
5627,62.62,
337,97.21,
5572,76.16,
367,89.64,
5137,62.04,
303,93.77,
5016,75.95,
336,97.04,
5241,79.76,
359,93.58,
5077,80.13,
300,92.18,
5074,77.55,
736,86.42,
4977,81.59,
387,99.02,
4732,82.42,
353,98.81,
4712,82.94,
402,100.48,
4150,85.67,
423,101.36,
3306,91.24,
311,105.31,
3279,97.56,
2394,100.21,
1590,100.3,
1112,99.23,
911,95.65,
657,94.21,
732,95.04,
1034,96.25,
2948,98.18,
5852,81.64,
5697,49.34,
801,80.18,
5855,55.47,
440,93.02,
5725,74.91,
336,97.41,
5809,66.46,
422,86.82,
5678,70.8,
393,92.4,
5289,79.78,
304,98.85,
5308,81.88,
326,95.37,
5285,72.24,
352,93.34,
5089,81.08,
671,89.22,
5108,80.9,
329,99.05,
4849,81,
359,100.01,
4588,82.9,
396,100,
4172,85.16,
436,101.88,
3582,90.16,
351,102.92,
3677,95.5,
2487,99.83,
1687,100.82,
1234,97.73,
946,93.89,
794,87.89,
729,88.03,
1079,88.44,
2901,86.53,
5620,72.03,
5279,49.24,
832,77.2,
5450,40.02,
519,88.18,
5261,39.91,
433,91.54,
5327,39.61,
464,89.42,
5322,40.23,
390,91.29,
5324,68.24,
350,94.11,
5248,78.95,
356,85.85,
5303,77.44,
365,95.74,
5322,75.96,
648,86.24,
5285,77.7,
412,97.71,
5106,75.91,
437,98.04,
5117,76.25,
516,99.94,
4604,80.2,
507,99.97,
4539,82.8,
423,99.39,
4491,93.65,
3016,97.58,
2008,98.9,
1394,99.65,
1068,97.92,
825,97.02,
759,96.39,
983,97.66,
2186,99.41,
3966,92.73,
4255,81.46,
460,99.79,
4220,85.25,
285,102.77,
5052,84.51,
307,99.98,
5447,82.07,
371,95,
5250,82.2,
332,97.31,
5247,83.19,
355,97.64,
5345,81.32,
378,92.79,
5557,61.19,
388,92.39,
5281,78.19,
632,90.55,
5316,80.73,
390,100.92,
5124,76.25,
380,99.67,
4693,80.14,
397,100.42,
3506,91.23,
292,106.57,
3058,92.3,
281,105.55,
3301,98.42,
2378,101.81,
1490,104.12,
1027,102.47,
733,102.14,
488,101.4,
461,98.78,
526,97.85,
1142,101.75,
2120,99.2,
2524,92.97,
296,105.64,
2760,96.07,
207,104.94,
3824,92.94,
271,100.55,
4734,85.79,
324,95.03,
4890,83.95,
279,100.17,
4890,87.22,
293,99.53,
5429,81.51,
323,95.2,
5360,85.95,
318,97.83,
5423,81.71,
612,90.85,
5202,83.95,
376,102.79,
4926,80.85,
357,101.17,
4399,82.88,
344,103.12,
4334,81.69,
348,104.08,
4282,85.83,
320,106.61,
4776,94.08,
3633,99.96,
2160,103.88,
1406,101.57,
840,98.5,
743,98.73,
843,99.92,
1871,102.53,
5246,89,
6854,64.69,
5577,44.9,
899,77.82,
5724,45.25,
454,93.66,
5486,69.59,
370,92.36,
5575,76.62,
396,91.77,
5561,72.99,
388,91.95,
5422,75.21,
353,95.13,
5284,77.14,
354,97.88,
5067,80.68,
324,98.81,
5187,80.23,
357,97.58,
4985,81.48,
352,97.05,
4813,79.52,
357,99.55,
4750,81.39,
439,101.11,
4256,83.25,
438,101.14,
3575,89.17,
320,102.98,
3605,96.06,
2391,98.55,
1614,98.78,
1177,97.3,
943,94.85,
766,93.99,
747,94.73,
1192,95.19,
3018,91.81,
6021,71.23,
5521,42.35,
860,75.22,
5639,41.11,
553,88.76,
5403,40.03,
450,92.44,
5513,40.26,
444,87.76,
5353,64.69,
375,91.03,
5459,64.13,
407,89.87,
5206,78.46,
332,100.27,
5238,79.01,
351,99.21,
5167,78.35,
300,98.91,
5073,79.98,
358,100.09,
4873,79.85,
311,99.64,
4626,80.58,
413,101.83,
4171,82.53,
416,101.82,
3661,87.66,
