날짜,교통량
2021.01.31,181
2021.01.31,183
2021.01.31,153
2021.01.31,126
2021.01.31,102
2021.01.31,163
2021.01.31,173
2021.01.31,221
2021.01.31,241
2021.01.31,353
2021.01.31,519
2021.01.31,703
2021.01.31,696
2021.01.31,662
2021.01.31,734
2021.01.31,735
2021.01.31,692
2021.01.31,716
2021.01.31,574
2021.01.31,445
2021.01.31,416
2021.01.31,398
2021.01.31,250
2021.01.31,211
2021.01.30,214
2021.01.30,211
2021.01.30,190
2021.01.30,165
2021.01.30,171
2021.01.30,200
2021.01.30,254
2021.01.30,359
2021.01.30,434
2021.01.30,609
2021.01.30,818
2021.01.30,1025
2021.01.30,995
2021.01.30,929
2021.01.30,819
2021.01.30,943
2021.01.30,774
2021.01.30,707
2021.01.30,537
2021.01.30,411
2021.01.30,312
2021.01.30,274
2021.01.30,218
2021.01.30,191
2021.01.29,92
2021.01.29,79
2021.01.29,56
2021.01.29,74
2021.01.29,69
2021.01.29,167
2021.01.29,212
2021.01.29,280
2021.01.29,385
2021.01.29,410
2021.01.29,522
2021.01.29,656
2021.01.29,713
2021.01.29,745
2021.01.29,815
2021.01.29,793
2021.01.29,824
2021.01.29,788
2021.01.29,720
2021.01.29,574
2021.01.29,515
2021.01.29,396
2021.01.29,327
2021.01.29,254
2021.01.28,104
2021.01.28,82
2021.01.28,92
2021.01.28,75
2021.01.28,98
2021.01.28,229
2021.01.28,264
2021.01.28,389
2021.01.28,442
2021.01.28,495
2021.01.28,650
2021.01.28,713
2021.01.28,719
2021.01.28,653
2021.01.28,681
2021.01.28,659
2021.01.28,582
2021.01.28,487
2021.01.28,393
2021.01.28,280
2021.01.28,273
2021.01.28,200
2021.01.28,172
2021.01.28,101
2021.01.27,121
2021.01.27,84
2021.01.27,100
2021.01.27,81
2021.01.27,106
2021.01.27,176
2021.01.27,282
2021.01.27,429
2021.01.27,462
2021.01.27,542
2021.01.27,687
2021.01.27,741
2021.01.27,717
2021.01.27,702
2021.01.27,774
2021.01.27,763
2021.01.27,591
2021.01.27,577
2021.01.27,457
2021.01.27,352
2021.01.27,264
2021.01.27,224
2021.01.27,184
2021.01.27,149
2021.01.26,166
2021.01.26,147
2021.01.26,130
2021.01.26,140
2021.01.26,160
2021.01.26,252
2021.01.26,288
2021.01.26,347
2021.01.26,371
2021.01.26,461
2021.01.26,175
2021.01.26,675
2021.01.26,631
2021.01.26,748
2021.01.26,752
2021.01.26,674
2021.01.26,690
2021.01.26,595
2021.01.26,454
2021.01.26,368
2021.01.26,331
2021.01.26,265
2021.01.26,234
2021.01.26,210
2021.01.25,118
2021.01.25,71
2021.01.25,58
2021.01.25,71
2021.01.25,115
2021.01.25,228
2021.01.25,347
2021.01.25,527
2021.01.25,525
2021.01.25,539
2021.01.25,693
2021.01.25,727
2021.01.25,759
2021.01.25,680
2021.01.25,811
2021.01.25,793
2021.01.25,653
2021.01.25,618
2021.01.25,464
2021.01.25,357
2021.01.25,327
2021.01.25,245
2021.01.25,207
2021.01.25,163
2021.01.24,162
2021.01.24,147
2021.01.24,114
2021.01.24,110
2021.01.24,125
2021.01.24,143
2021.01.24,170
2021.01.24,221
2021.01.24,254
2021.01.24,355
2021.01.24,518
2021.01.24,705
2021.01.24,690
2021.01.24,680
2021.01.24,766
2021.01.24,747
2021.01.24,817
2021.01.24,722
2021.01.24,620
2021.01.24,472
2021.01.24,432
2021.01.24,350
2021.01.24,330
