날짜,교통량
2021.01.31,42
2021.01.31,38
2021.01.31,16
2021.01.31,24
2021.01.31,37
2021.01.31,31
2021.01.31,64
2021.01.31,124
2021.01.31,132
2021.01.31,214
2021.01.31,295
2021.01.31,399
2021.01.31,442
2021.01.31,472
2021.01.31,546
2021.01.31,595
2021.01.31,625
2021.01.31,628
2021.01.31,495
2021.01.31,326
2021.01.31,263
2021.01.31,226
2021.01.31,166
2021.01.31,103
2021.01.30,48
2021.01.30,53
2021.01.30,33
2021.01.30,44
2021.01.30,58
2021.01.30,90
2021.01.30,141
2021.01.30,168
2021.01.30,207
2021.01.30,315
2021.01.30,422
2021.01.30,488
2021.01.30,482
2021.01.30,481
2021.01.30,512
2021.01.30,533
2021.01.30,489
2021.01.30,508
2021.01.30,413
2021.01.30,254
2021.01.30,184
2021.01.30,149
2021.01.30,137
2021.01.30,86
2021.01.29,52
2021.01.29,43
2021.01.29,41
2021.01.29,34
2021.01.29,51
2021.01.29,66
2021.01.29,120
2021.01.29,150
2021.01.29,218
2021.01.29,225
2021.01.29,319
2021.01.29,348
2021.01.29,398
2021.01.29,415
2021.01.29,372
2021.01.29,464
2021.01.29,527
2021.01.29,557
2021.01.29,528
2021.01.29,373
2021.01.29,250
2021.01.29,179
2021.01.29,140
2021.01.29,72
2021.01.28,61
2021.01.28,52
2021.01.28,47
2021.01.28,50
2021.01.28,69
2021.01.28,115
2021.01.28,196
2021.01.28,198
2021.01.28,246
2021.01.28,330
2021.01.28,390
2021.01.28,379
2021.01.28,379
2021.01.28,436
2021.01.28,426
2021.01.28,434
2021.01.28,352
2021.01.28,383
2021.01.28,304
2021.01.28,192
2021.01.28,131
2021.01.28,113
2021.01.28,103
2021.01.28,60
2021.01.27,49
2021.01.27,47
2021.01.27,41
2021.01.27,38
2021.01.27,66
2021.01.27,101
2021.01.27,178
2021.01.27,212
2021.01.27,283
2021.01.27,327
2021.01.27,449
2021.01.27,428
2021.01.27,412
2021.01.27,465
2021.01.27,449
2021.01.27,416
2021.01.27,500
2021.01.27,498
2021.01.27,378
2021.01.27,226
2021.01.27,187
2021.01.27,184
2021.01.27,151
2021.01.27,69
2021.01.26,65
2021.01.26,40
2021.01.26,58
2021.01.26,34
2021.01.26,68
2021.01.26,108
2021.01.26,178
2021.01.26,207
2021.01.26,265
2021.01.26,314
2021.01.26,154
2021.01.26,426
2021.01.26,436
2021.01.26,432
2021.01.26,417
2021.01.26,460
2021.01.26,388
2021.01.26,410
2021.01.26,273
2021.01.26,192
2021.01.26,159
2021.01.26,137
2021.01.26,121
2021.01.26,73
2021.01.25,55
2021.01.25,43
2021.01.25,39
2021.01.25,53
2021.01.25,58
2021.01.25,130
2021.01.25,218
2021.01.25,305
2021.01.25,287
2021.01.25,360
2021.01.25,402
2021.01.25,535
2021.01.25,499
2021.01.25,455
2021.01.25,424
2021.01.25,442
2021.01.25,443
2021.01.25,424
2021.01.25,415
2021.01.25,214
2021.01.25,189
2021.01.25,151
2021.01.25,137
2021.01.25,73
2021.01.24,40
2021.01.24,27
2021.01.24,26
2021.01.24,15
2021.01.24,19
2021.01.24,32
2021.01.24,51
2021.01.24,86
2021.01.24,117
2021.01.24,186
2021.01.24,323
2021.01.24,380
2021.01.24,392
2021.01.24,454
2021.01.24,512
2021.01.24,655
2021.01.24,596
2021.01.24,658
2021.01.24,460
2021.01.24,354
2021.01.24,306
2021.01.24,228
2021.01.24,172
2021.01.24,102
2021.01.23,55
2021.01.23,52
2021.01.23,36
2021.01.23,42
2021.01.23,50
2021.01.23,92
2021.01.23,130
2021.01.23,144
2021.01.23,214
2021.01.23,320
2021.01.23,397
2021.01.23,479
2021.01.23,496
2021.01.23,447
2021.01.23,490
2021.01.23,522
2021.01.23,466
2021.01.23,442
2021.01.23,319
2021.01.23,219
2021.01.23,179
2021.01.23,130
2021.01.23,84
2021.01.23,69
2021.01.22,50
2021.01.22,39
2021.01.22,37
2021.01.22,51
2021.01.22,55
2021.01.22,86
2021.01.22,170
2021.01.22,190
2021.01.22,257
2021.01.22,295
2021.01.22,389
2021.01.22,417
2021.01.22,456
2021.01.22,481
2021.01.22,476
2021.01.22,479
2021.01.22,547
2021.01.22,598
2021.01.22,562
2021.01.22,425
2021.01.22,282
2021.01.22,194
2021.01.22,133
2021.01.22,74
2021.01.21,49
2021.01.21,44
2021.01.21,39
2021.01.21,46
2021.01.21,73
2021.01.21,115
2021.01.21,174
2021.01.21,215
2021.01.21,263
2021.01.21,310
2021.01.21,412
2021.01.21,427
2021.01.21,428
2021.01.21,412
2021.01.21,423
2021.01.21,443
2021.01.21,530
2021.01.21,429
2021.01.21,357
2021.01.21,211
2021.01.21,175
2021.01.21,150
2021.01.21,115
2021.01.21,67
2021.01.20,61
2021.01.20,54
2021.01.20,76
2021.01.20,72
2021.01.20,42
2021.01.20,73
2021.01.20,70
2021.01.20,87
2021.01.20,101
2021.01.20,140
2021.01.20,145
2021.01.20,152
2021.01.20,72
2021.01.20,152
2021.01.20,91
2021.01.20,103
2021.01.20,132
2021.01.20,175
2021.01.20,126
2021.01.20,30
2021.01.20,21
2021.01.20,-1
2021.01.20,-1
2021.01.20,-1
2021.01.19,49
2021.01.19,40
2021.01.19,45
2021.01.19,41
2021.01.19,64
2021.01.19,93
2021.01.19,158
2021.01.19,202
2021.01.19,232
2021.01.19,270
2021.01.19,397
2021.01.19,434
2021.01.19,387
2021.01.19,418
2021.01.19,408
2021.01.19,408
2021.01.19,418
2021.01.19,415
2021.01.19,352
2021.01.19,213
2021.01.19,160
2021.01.19,151
2021.01.19,98
2021.01.19,64
2021.01.18,58
2021.01.18,31
2021.01.18,53
2021.01.18,44
2021.01.18,52
2021.01.18,102
2021.01.18,160
2021.01.18,223
2021.01.18,235
2021.01.18,254
2021.01.18,254
2021.01.18,307
2021.01.18,335
2021.01.18,336
2021.01.18,299
2021.01.18,260
2021.01.18,292
2021.01.18,263
2021.01.18,225
2021.01.18,148
2021.01.18,127
2021.01.18,101
2021.01.18,105
2021.01.18,58
2021.01.17,30
2021.01.17,26
2021.01.17,30
2021.01.17,25
2021.01.17,38
2021.01.17,36
2021.01.17,59
2021.01.17,72
2021.01.17,111
2021.01.17,186
2021.01.17,287
2021.01.17,396
2021.01.17,418
2021.01.17,470
2021.01.17,502
2021.01.17,642
2021.01.17,653
2021.01.17,604
2021.01.17,461
2021.01.17,328
2021.01.17,268
2021.01.17,223
2021.01.17,147
2021.01.17,95
2021.01.16,52
2021.01.16,51
2021.01.16,37
2021.01.16,32
2021.01.16,50
